author,num_poems,num_tokens,pct_NOUN,pct_VERB,pct_ADJ,pct_ADV,pct_PROPN,type_token_ratio,avg_tokens_per_line,avg_lines_per_poem,top_pos_bigrams,top_rhyme_endings
Јосип Коцев,6,245,0.4898,0.1918,0.1878,0.1143,0.0163,0.8367,4.95,16.17,NOUN>NOUN|ADJ>NOUN|NOUN>ADJ|NOUN>VERB|VERB>NOUN,"ил,|ни,|ни.|ци,|та,"
Адем Гајтани,45,3063,0.4665,0.2439,0.1956,0.064,0.03,0.5207,4.79,24.24,NOUN>NOUN|NOUN>VERB|ADJ>NOUN|VERB>NOUN|NOUN>ADJ,ата|ите|—|ува|ето
Анте Поповски,21,919,0.3711,0.2568,0.2089,0.111,0.0522,0.6355,5.68,15.19,ADJ>NOUN|NOUN>NOUN|NOUN>VERB|NOUN>ADJ|VERB>NOUN,"ите|ме.|то.|та,|нас"
Ацо Шопов,31,2027,0.4149,0.2033,0.2432,0.0799,0.0587,0.5392,5.63,20.74,NOUN>NOUN|ADJ>NOUN|NOUN>ADJ|NOUN>VERB|VERB>NOUN,"на.|на,|та.|ни,|ти,"
Блаже Конески,182,8578,0.3814,0.2343,0.2144,0.1047,0.0652,0.4107,5.09,16.42,ADJ>NOUN|NOUN>NOUN|NOUN>VERB|NOUN>ADJ|VERB>NOUN,"–|на,|на.|ам.|ат."
Богомил Ѓузел,19,4999,0.3897,0.2354,0.1984,0.1468,0.0296,0.4703,5.83,87.0,NOUN>NOUN|ADJ>NOUN|NOUN>VERB|VERB>NOUN|NOUN>ADJ,ата|ите|—|што|ето
Бранко Цветкоски,41,1585,0.4076,0.2082,0.258,0.0486,0.0776,0.6776,3.47,19.07,ADJ>NOUN|NOUN>NOUN|NOUN>ADJ|NOUN>VERB|VERB>NOUN,ата|ите|ува|ина|ето
Братислав Ташковски,56,1921,0.3701,0.2936,0.1484,0.1635,0.0245,0.5133,4.49,14.27,NOUN>NOUN|NOUN>VERB|VERB>NOUN|VERB>VERB|ADJ>NOUN,"ата|ите|ам,|ам.|ка."
Веле Смилевски,49,2627,0.5089,0.1557,0.2136,0.0514,0.0704,0.5729,4.29,21.27,NOUN>NOUN|ADJ>NOUN|NOUN>ADJ|NOUN>VERB|VERB>NOUN,ата|але|рот|ува|ите
Влада Урошевиќ,61,3177,0.4507,0.2279,0.1829,0.0932,0.0453,0.5578,6.15,13.9,NOUN>NOUN|ADJ>NOUN|NOUN>VERB|VERB>NOUN|NOUN>ADJ,ат.|та.|от.|ата|ен.
Гане Тодоровски,19,1705,0.3806,0.1736,0.227,0.0927,0.1261,0.7009,5.51,29.16,ADJ>NOUN|NOUN>NOUN|NOUN>ADJ|NOUN>VERB|VERB>NOUN,"–|те,|на,|ри,|име"
Ефтим Клетников,134,5280,0.4436,0.2045,0.1888,0.0767,0.0864,0.4273,4.77,14.87,NOUN>NOUN|ADJ>NOUN|NOUN>VERB|VERB>NOUN|NOUN>ADJ,ата|та.|ите|от.|те.
Ива Петреска,44,3926,0.4137,0.2415,0.2132,0.0899,0.0418,0.5688,4.83,33.43,NOUN>NOUN|ADJ>NOUN|NOUN>VERB|NOUN>ADJ|VERB>NOUN,"те,|та,|от,|ам,|ка,"
Игор Исаковски,15,928,0.3933,0.264,0.194,0.1369,0.0119,0.6573,5.43,22.2,NOUN>NOUN|ADJ>NOUN|NOUN>VERB|VERB>NOUN|NOUN>ADJ,ите|ата|–|аат|вам
Катица Ќулавкова,60,4389,0.4188,0.2237,0.2253,0.087,0.0451,0.6029,4.6,29.23,NOUN>NOUN|ADJ>NOUN|NOUN>ADJ|NOUN>VERB|VERB>NOUN,ата|ите|ува|ото|ето
Кочо Рацин,13,1649,0.4112,0.2347,0.2226,0.0619,0.0697,0.5276,4.15,50.69,NOUN>NOUN|ADJ>NOUN|NOUN>VERB|VERB>NOUN|NOUN>ADJ,"–|—|ата|ите|ни,"
Лилјана Дирјан,7,361,0.4155,0.2216,0.2133,0.1108,0.0388,0.8615,5.05,17.86,NOUN>NOUN|ADJ>NOUN|NOUN>VERB|VERB>NOUN|NOUN>ADJ,ата|ите|ото|ува|ена
