author,num_poems,num_tokens,pct_NOUN,pct_VERB,pct_ADJ,pct_ADV,pct_PROPN,type_token_ratio,mattr,avg_tokens_per_line,avg_lines_per_poem,avg_stanzas_per_poem,avg_lines_per_stanza,top_pos_bigrams,top_rhyme_endings
Јосип Коцев,6,232,0.5603,0.1595,0.194,0.0819,0.0043,0.8491,0.8595,4.95,16.17,1.67,9.7,NOUN>NOUN|ADJ>NOUN|NOUN>ADJ|NOUN>VERB|VERB>NOUN,ни|ле|и|ња|ил
Адем Гајтани,45,3076,0.4977,0.2259,0.2048,0.0533,0.0182,0.4821,0.7931,4.79,24.24,4.07,5.96,NOUN>NOUN|NOUN>VERB|ADJ>NOUN|VERB>NOUN|NOUN>ADJ,та|те|ва|то|ат
Анте Поповски,21,907,0.3859,0.2602,0.2238,0.1125,0.0176,0.5954,0.7557,5.68,15.19,2.67,5.7,ADJ>NOUN|NOUN>VERB|NOUN>ADJ|NOUN>NOUN|VERB>NOUN,те|е|ме|та|то
Ацо Шопов,31,2031,0.4387,0.2245,0.2536,0.0739,0.0094,0.5111,0.7429,5.63,20.74,3.81,5.45,ADJ>NOUN|NOUN>NOUN|NOUN>VERB|NOUN>ADJ|VERB>NOUN,на|та|ва|ни|е
Блаже Конески,182,8538,0.3908,0.2517,0.2332,0.1099,0.0144,0.3848,0.8242,5.09,16.42,2.3,7.15,ADJ>NOUN|NOUN>VERB|NOUN>NOUN|NOUN>ADJ|VERB>NOUN,е|та|ка|ва|на
Богомил Ѓузел,19,4883,0.4178,0.215,0.195,0.1659,0.0063,0.4526,0.8082,5.83,87.0,6.32,13.78,NOUN>NOUN|ADJ>NOUN|NOUN>VERB|VERB>NOUN|NOUN>ADJ,е|та|а|то|о
Бранко Цветкоски,41,1655,0.4604,0.235,0.2266,0.0598,0.0181,0.6375,0.8907,3.47,19.07,3.32,5.75,ADJ>NOUN|NOUN>NOUN|NOUN>VERB|NOUN>ADJ|VERB>NOUN,та|те|ва|е|на
Братислав Ташковски,56,1852,0.3871,0.2727,0.156,0.1771,0.007,0.4779,0.8003,4.49,14.27,1.18,12.11,NOUN>NOUN|NOUN>VERB|ADJ>NOUN|VERB>NOUN|ADV>VERB,та|те|вам|ка|а
Веле Смилевски,49,2662,0.5458,0.1687,0.2081,0.0481,0.0293,0.5488,0.7891,4.29,21.27,4.29,4.96,NOUN>NOUN|ADJ>NOUN|NOUN>ADJ|NOUN>VERB|VERB>NOUN,та|ле|ва|на|то
Влада Урошевиќ,61,3136,0.4837,0.2318,0.1875,0.088,0.0089,0.5338,0.8491,6.15,13.9,2.98,4.66,NOUN>NOUN|NOUN>VERB|ADJ>NOUN|VERB>NOUN|NOUN>ADJ,та|те|то|е|и
Гане Тодоровски,19,1690,0.4095,0.2195,0.2521,0.0834,0.0355,0.684,0.8471,5.51,29.16,5.95,4.9,NOUN>NOUN|ADJ>NOUN|NOUN>ADJ|NOUN>VERB|VERB>NOUN,ме|те|то|та|на
Ефтим Клетников,134,5243,0.4892,0.2232,0.1951,0.0742,0.0183,0.3839,0.8117,4.77,14.87,3.27,4.55,NOUN>NOUN|NOUN>VERB|ADJ>NOUN|VERB>NOUN|NOUN>ADJ,та|те|то|е|ва
Ива Петреска,44,3863,0.4406,0.2511,0.2291,0.0766,0.0026,0.5353,0.8495,4.83,33.43,3.77,8.86,ADJ>NOUN|NOUN>NOUN|NOUN>VERB|NOUN>ADJ|VERB>NOUN,те|та|ва|то|е
Игор Исаковски,15,908,0.3921,0.2775,0.1971,0.1322,0.0011,0.641,0.7838,5.43,22.2,3.73,5.95,NOUN>NOUN|ADJ>NOUN|NOUN>VERB|VERB>NOUN|NOUN>ADJ,е|те|та|то|на
Катица Ќулавкова,60,4321,0.4605,0.2166,0.2171,0.0898,0.016,0.5962,0.9017,4.6,29.23,4.75,6.15,NOUN>NOUN|ADJ>NOUN|NOUN>VERB|NOUN>ADJ|VERB>NOUN,та|те|то|ва|е
Кочо Рацин,13,1629,0.4678,0.2357,0.2118,0.0577,0.027,0.4936,0.7613,4.15,50.69,10.31,4.92,NOUN>NOUN|NOUN>VERB|ADJ>NOUN|VERB>NOUN|NOUN>ADJ,та|те|ни|ви|а
Лилјана Дирјан,7,366,0.4563,0.2268,0.2186,0.0902,0.0082,0.847,0.8754,5.05,17.86,1.14,15.62,NOUN>NOUN|ADJ>NOUN|NOUN>VERB|VERB>NOUN|NOUN>ADJ,ва|то|на|те|та
Матеја Матевски,14,1280,0.4453,0.2133,0.2422,0.0953,0.0039,0.5609,0.7776,5.42,31.64,6.0,5.27,NOUN>NOUN|ADJ>NOUN|NOUN>VERB|NOUN>ADJ|VERB>NOUN,те|та|то|на|рот
Милош Линдро,40,1662,0.3947,0.1769,0.2659,0.1294,0.0331,0.6318,0.8443,3.6,21.48,4.47,4.8,NOUN>NOUN|ADJ>NOUN|NOUN>ADJ|ADJ>ADJ|VERB>NOUN,те|та|то|е|ни
Петре М. Андреевски,41,3850,0.4018,0.273,0.2377,0.0797,0.0078,0.433,0.779,6.22,31.2,3.93,7.94,ADJ>NOUN|NOUN>VERB|NOUN>NOUN|NOUN>ADJ|VERB>NOUN,та|те|то|ва|на
Пијан Славеј,160,5738,0.3848,0.3139,0.1891,0.1011,0.0112,0.4481,0.7694,4.39,14.69,2.45,5.99,NOUN>VERB|VERB>NOUN|ADJ>NOUN|NOUN>NOUN|VERB>VERB,те|та|е|на|ка
Ристо Лазаров,48,2775,0.4923,0.1874,0.2007,0.0847,0.035,0.5899,0.8475,4.58,21.35,7.23,2.95,NOUN>NOUN|ADJ>NOUN|NOUN>ADJ|NOUN>VERB|VERB>NOUN,та|то|те|ни|на
