node_id,node_type,lemma,pos,pagerank,weighted_degree,community
Петре М. Андреевски,author,,,0.000767,1.9174,3
Кочо Рацин,author,,,0.000416,1.3856,2
Гане Тодоровски,author,,,0.000781,0.963,1
Влада Урошевиќ,author,,,0.000796,2.1352,1
Блаже Конески,author,,,0.000838,2.0983,2
Славко Јаневски,author,,,0.000658,1.5742,2
Ацо Шопов,author,,,0.000609,1.6655,2
Анте Поповски,author,,,0.000425,1.4497,4
Матеја Матевски,author,,,0.00052,1.6297,0
Игор Исаковски,author,,,0.000425,1.5783,1
Богомил Ѓузел,author,,,0.000779,2.1093,3
Лилјана Дирјан,author,,,0.000436,1.2637,4
Катица Ќулавкова,author,,,0.000403,0.7238,3
Јосип Коцев,author,,,0.000864,1.8831,4
Адем Гајтани,author,,,0.001087,3.0443,4
Веле Смилевски,author,,,0.000556,1.269,4
Тодор Чаловски,author,,,0.000488,1.1753,4
Милош Линдро,author,,,0.000432,1.2231,0
Бранко Цветкоски,author,,,0.000459,1.2668,0
Пијан Славеј,author,,,0.000828,2.1171,1
Ефтим Клетников,author,,,0.001002,2.8204,1
Братислав Ташковски,author,,,0.00046,1.3534,3
Ристо Лазаров,author,,,0.00056,1.6441,3
Ива Петреска,author,,,0.000769,2.0728,3
април_NOUN,word,април,NOUN,0.000556,6.2121,3
атом_NOUN,word,атом,NOUN,0.000517,3.4866,4
каков_ADJ,word,каков,ADJ,0.003425,209.1649,0
жила_NOUN,word,жила,NOUN,0.002608,141.8883,4
оди_VERB,word,оди,VERB,0.009153,636.4895,2
прострелен_ADJ,word,прострелен,ADJ,0.000448,0.7794,0
маска_NOUN,word,маска,NOUN,0.000807,27.6477,4
развеан_ADJ,word,развеан,ADJ,0.000985,26.3629,0
квечерина_NOUN,word,квечерина,NOUN,0.001437,56.5173,4
самрак_NOUN,word,самрак,NOUN,0.001089,45.9748,3
лик_NOUN,word,лик,NOUN,0.004284,275.184,4
цут_NOUN,word,цут,NOUN,0.002095,99.5992,4
види_VERB,word,види,VERB,0.010226,709.5241,2
затвореник_NOUN,word,затвореник,NOUN,0.000428,0.0979,4
чувство_NOUN,word,чувство,NOUN,0.002611,160.4109,3
сличен_ADJ,word,сличен,ADJ,0.000585,10.6534,0
божило_NOUN,word,божило,NOUN,0.001977,95.651,4
долина_NOUN,word,долина,NOUN,0.001606,88.4803,0
претвора_VERB,word,претвора,VERB,0.002435,133.7067,1
риба_NOUN,word,риба,NOUN,0.002886,183.4911,3
езеро_NOUN,word,езеро,NOUN,0.002449,150.8913,3
игла_NOUN,word,игла,NOUN,0.000917,37.7168,0
вилица_NOUN,word,вилица,NOUN,0.001746,74.8101,4
череп_NOUN,word,череп,NOUN,0.000574,10.9988,4
школка_NOUN,word,школка,NOUN,0.001492,74.4383,4
тркалезен_ADJ,word,тркалезен,ADJ,0.000814,21.9507,0
излегува_VERB,word,излегува,VERB,0.002937,180.2967,1
гледа_VERB,word,гледа,VERB,0.016649,1133.1886,0
бог_NOUN,word,бог,NOUN,0.006206,424.606,0
бара_VERB,word,бара,VERB,0.007686,531.6162,3
поет_NOUN,word,поет,NOUN,0.002751,169.8366,3
кат_NOUN,word,кат,NOUN,0.002882,165.2314,4
брег_NOUN,word,брег,NOUN,0.006242,419.9295,0
прост_ADJ,word,прост,ADJ,0.000859,35.1015,3
наваму_ADV,word,наваму,ADV,0.000612,8.4941,3
малечки_ADJ,word,малечки,ADJ,0.000666,13.7261,0
крст_NOUN,word,крст,NOUN,0.000896,34.4344,0
негов_ADJ,word,негов,ADJ,0.009033,638.4544,0
нешто_NOUN,word,нешто,NOUN,0.002389,138.0307,4
свеќа_NOUN,word,свеќа,NOUN,0.000975,40.649,3
спречи_VERB,word,спречи,VERB,0.001069,39.4327,1
синџир_NOUN,word,синџир,NOUN,0.001917,96.0816,4
чуе_VERB,word,чуе,VERB,0.003439,224.476,2
лист_NOUN,word,лист,NOUN,0.002259,119.3643,4
молчи_VERB,word,молчи,VERB,0.001751,102.8891,0
господи_NOUN,word,господи,NOUN,0.000831,24.0803,4
расфрлан_ADJ,word,расфрлан,ADJ,0.000859,23.2208,0
заробен_ADJ,word,заробен,ADJ,0.001456,41.7842,0
колено_NOUN,word,колено,NOUN,0.001071,51.0789,3
буква_NOUN,word,буква,NOUN,0.001946,102.5719,4
крва_NOUN,word,крва,NOUN,0.001327,69.0856,2
патува_VERB,word,патува,VERB,0.002204,126.3488,1
стар_ADJ,word,стар,ADJ,0.010514,750.2422,2
иде_VERB,word,иде,VERB,0.003396,216.1341,2
грло_NOUN,word,грло,NOUN,0.004474,304.4164,2
небиднина_NOUN,word,небиднина,NOUN,0.001343,53.5823,4
слетува_VERB,word,слетува,VERB,0.00072,19.1059,1
црвен_ADJ,word,црвен,ADJ,0.004621,311.061,0
искачи_VERB,word,искачи,VERB,0.000655,15.0314,1
личи_VERB,word,личи,VERB,0.001709,83.3675,1
алишта_NOUN,word,алишта,NOUN,0.000472,4.7382,3
темнина_NOUN,word,темнина,NOUN,0.00252,160.9359,2
градина_NOUN,word,градина,NOUN,0.002731,173.0994,0
вечер_NOUN,word,вечер,NOUN,0.005468,373.2732,2
вик_NOUN,word,вик,NOUN,0.002372,122.2027,4
мрачен_ADJ,word,мрачен,ADJ,0.002078,128.7392,2
сосем_ADV,word,сосем,ADV,0.001027,28.5146,3
вод_NOUN,word,вод,NOUN,0.001373,53.3349,4
син_NOUN,word,син,NOUN,0.003966,273.5618,2
некаков_ADJ,word,некаков,ADJ,0.001635,85.2894,3
гласи_VERB,word,гласи,VERB,0.002172,123.183,1
сокол_NOUN,word,сокол,NOUN,0.002713,150.3112,4
тивок_ADJ,word,тивок,ADJ,0.002329,144.6661,2
младост_NOUN,word,младост,NOUN,0.004814,344.0427,2
ужас_NOUN,word,ужас,NOUN,0.002179,132.2037,2
самотен_ADJ,word,самотен,ADJ,0.000627,18.0402,3
мрзне_VERB,word,мрзне,VERB,0.001664,74.6095,1
тежок_ADJ,word,тежок,ADJ,0.008767,619.6087,2
мака_NOUN,word,мака,NOUN,0.006666,450.6782,2
оро_NOUN,word,оро,NOUN,0.00283,162.3811,2
мине_VERB,word,мине,VERB,0.009031,612.8504,2
ширина_NOUN,word,ширина,NOUN,0.000518,8.0436,4
наш_ADJ,word,наш,ADJ,0.021546,1500.3431,3
добие_VERB,word,добие,VERB,0.002657,154.0665,1
зар_ADV,word,зар,ADV,0.001271,50.6084,3
нашт_ADJ,word,нашт,ADJ,0.001713,79.8421,3
океан_NOUN,word,океан,NOUN,0.00174,92.478,3
завршува_VERB,word,завршува,VERB,0.001797,93.9689,1
потем_ADV,word,потем,ADV,0.004539,293.6184,3
живот_NOUN,word,живот,NOUN,0.025218,1725.8215,3
сал_VERB,word,сал,VERB,0.002587,150.0638,1
непознат_ADJ,word,непознат,ADJ,0.00354,232.0541,3
годишен_ADJ,word,годишен,ADJ,0.00255,152.0416,3
навистина_ADV,word,навистина,ADV,0.005082,331.2839,3
постои_VERB,word,постои,VERB,0.00658,439.3182,3
месе_NOUN,word,месе,NOUN,0.001886,93.9511,4
склад_NOUN,word,склад,NOUN,0.001568,78.7392,4
неизбежен_ADJ,word,неизбежен,ADJ,0.001891,105.7032,3
достатно_ADV,word,достатно,ADV,0.000847,25.0414,3
жичка_NOUN,word,жичка,NOUN,0.001705,65.0244,4
пропаѓа_VERB,word,пропаѓа,VERB,0.001196,48.1303,1
виделина_NOUN,word,виделина,NOUN,0.001759,81.2978,4
облик_NOUN,word,облик,NOUN,0.002544,140.0817,4
тресе_VERB,word,тресе,VERB,0.001206,49.859,1
остар_ADJ,word,остар,ADJ,0.001878,96.7704,0
високо_ADV,word,високо,ADV,0.001802,104.43,0
пристига_VERB,word,пристига,VERB,0.00145,64.4716,1
меша_VERB,word,меша,VERB,0.001491,63.421,1
молитва_NOUN,word,молитва,NOUN,0.001108,55.0636,0
бега_VERB,word,бега,VERB,0.003973,265.1124,0
срчен_ADJ,word,срчен,ADJ,0.000858,21.8179,0
излезе_VERB,word,излезе,VERB,0.002954,179.2665,0
снежен_ADJ,word,снежен,ADJ,0.000591,14.0613,0
роза_NOUN,word,роза,NOUN,0.000776,27.0613,2
виор_NOUN,word,виор,NOUN,0.001044,37.2344,4
ноќен_ADJ,word,ноќен,ADJ,0.002987,194.574,0
поинаку_ADV,word,поинаку,ADV,0.000868,29.2237,3
останат_ADJ,word,останат,ADJ,0.000894,37.1112,3
пишува_VERB,word,пишува,VERB,0.00321,193.7979,3
напише_VERB,word,напише,VERB,0.00116,55.4045,3
зрнце_NOUN,word,зрнце,NOUN,0.001844,93.0091,4
бори_VERB,word,бори,VERB,0.002431,137.9458,1
сака_VERB,word,сака,VERB,0.012242,821.3388,3
верува_VERB,word,верува,VERB,0.002983,184.2795,3
стих_NOUN,word,стих,NOUN,0.001996,101.9954,4
започнува_VERB,word,започнува,VERB,0.00098,38.8797,1
повторно_ADV,word,повторно,ADV,0.003611,227.3216,3
ангел_NOUN,word,ангел,NOUN,0.002447,139.3713,0
може_VERB,word,може,VERB,0.022146,1454.5923,3
многу_ADV,word,многу,ADV,0.01694,1204.9551,3
наскоро_ADV,word,наскоро,ADV,0.001003,24.278,3
направи_VERB,word,направи,VERB,0.002827,167.112,1
книга_NOUN,word,книга,NOUN,0.004064,260.2401,3
забранет_ADJ,word,забранет,ADJ,0.000976,38.7585,3
заборавен_ADJ,word,заборавен,ADJ,0.001468,79.0905,3
одаја_NOUN,word,одаја,NOUN,0.003034,174.5376,4
одглас_NOUN,word,одглас,NOUN,0.00077,21.6541,4
пророк_NOUN,word,пророк,NOUN,0.000852,30.8513,3
жар_NOUN,word,жар,NOUN,0.00297,200.0675,2
приватен_ADJ,word,приватен,ADJ,0.000604,15.0675,3
зевс_PROPN,word,зевс,PROPN,0.000999,2.3944,3
публика_NOUN,word,публика,NOUN,0.000421,0.7468,2
клучалка_NOUN,word,клучалка,NOUN,0.000563,8.7978,4
единица_NOUN,word,единица,NOUN,0.001279,45.2217,4
завеса_NOUN,word,завеса,NOUN,0.001132,48.68,4
корица_NOUN,word,корица,NOUN,0.001703,70.0288,4
минува_VERB,word,минува,VERB,0.002608,156.8516,1
врне_VERB,word,врне,VERB,0.000635,16.1507,3
сфаќа_VERB,word,сфаќа,VERB,0.001002,37.734,1
мижи_VERB,word,мижи,VERB,0.001525,66.8529,1
лажи_VERB,word,лажи,VERB,0.00056,8.954,1
плови_VERB,word,плови,VERB,0.001781,88.5285,1
рид_NOUN,word,рид,NOUN,0.004892,330.3545,0
град_NOUN,word,град,NOUN,0.00896,627.4206,3
дожд_NOUN,word,дожд,NOUN,0.006798,454.1371,3
останува_VERB,word,останува,VERB,0.002695,173.5533,3
остров_NOUN,word,остров,NOUN,0.000567,11.2519,3
бавча_NOUN,word,бавча,NOUN,0.001446,64.5445,4
седи_VERB,word,седи,VERB,0.002301,148.054,0
среди_VERB,word,среди,VERB,0.001893,96.255,1
бавно_ADV,word,бавно,ADV,0.000678,16.7042,3
парк_NOUN,word,парк,NOUN,0.001103,55.3837,3
кула_NOUN,word,кула,NOUN,0.001323,68.0514,0
станува_VERB,word,станува,VERB,0.003492,206.5407,1
тргне_VERB,word,тргне,VERB,0.002751,163.043,1
делчев_PROPN,word,делчев,PROPN,0.000974,17.6413,2
остане_VERB,word,остане,VERB,0.010389,703.8256,0
тате_ADV,word,тате,ADV,0.000443,0.0775,1
стане_VERB,word,стане,VERB,0.008913,601.7016,0
коска_NOUN,word,коска,NOUN,0.001663,93.9314,0
прв_ADJ,word,прв,ADJ,0.012996,910.5543,2
слуша_VERB,word,слуша,VERB,0.00756,532.1469,2
верен_ADJ,word,верен,ADJ,0.001891,108.6899,3
ред_NOUN,word,ред,NOUN,0.004623,294.1245,4
темен_ADJ,word,темен,ADJ,0.013109,910.8065,0
гроб_NOUN,word,гроб,NOUN,0.006027,424.8392,0
вее_VERB,word,вее,VERB,0.002174,118.8539,1
прска_VERB,word,прска,VERB,0.002326,127.5708,1
избива_VERB,word,избива,VERB,0.002099,107.5989,1
сосе_VERB,word,сосе,VERB,0.001403,61.135,1
нани_PROPN,word,нани,PROPN,0.000468,5.0543,2
грми_VERB,word,грми,VERB,0.001567,77.7639,1
бакнеж_NOUN,word,бакнеж,NOUN,0.004777,323.0527,3
свест_NOUN,word,свест,NOUN,0.00192,107.8071,0
ене_VERB,word,ене,VERB,0.001615,71.6119,1
дете_NOUN,word,дете,NOUN,0.011718,817.8362,0
рамнина_NOUN,word,рамнина,NOUN,0.001929,86.6371,4
загатка_NOUN,word,загатка,NOUN,0.000912,31.1188,4
шумски_ADJ,word,шумски,ADJ,0.001161,43.2794,0
гора_NOUN,word,гора,NOUN,0.006781,485.0215,2
откога_ADV,word,откога,ADV,0.000513,6.7798,3
млеко_ADJ,word,млеко,ADJ,0.000564,12.07,3
слушне_VERB,word,слушне,VERB,0.002082,106.8602,1
лакомо_ADV,word,лакомо,ADV,0.000689,12.8971,3
страст_NOUN,word,страст,NOUN,0.003314,217.7331,3
спасува_VERB,word,спасува,VERB,0.001038,41.7941,1
желба_NOUN,word,желба,NOUN,0.003331,226.3394,3
стомак_NOUN,word,стомак,NOUN,0.000815,30.0506,0
врие_VERB,word,врие,VERB,0.001416,59.9625,1
свесно_ADV,word,свесно,ADV,0.000779,24.7266,3
емоција_NOUN,word,емоција,NOUN,0.000665,20.1732,3
живее_VERB,word,живее,VERB,0.006716,456.0537,3
парче_NOUN,word,парче,NOUN,0.0026,151.3339,4
посака_VERB,word,посака,VERB,0.001873,99.5407,1
срамежливо_ADV,word,срамежливо,ADV,0.000595,15.046,3
допре_VERB,word,допре,VERB,0.002887,176.787,1
демон_NOUN,word,демон,NOUN,0.00054,7.5142,4
боли_VERB,word,боли,VERB,0.001246,65.7907,0
денески_ADJ,word,денески,ADJ,0.001341,53.9359,0
треба_VERB,word,треба,VERB,0.008145,554.2028,3
помислува_VERB,word,помислува,VERB,0.000664,17.8222,1
кревет_NOUN,word,кревет,NOUN,0.001665,91.7098,3
често_ADV,word,често,ADV,0.002163,131.6229,2
момент_NOUN,word,момент,NOUN,0.0015,69.0298,4
засака_VERB,word,засака,VERB,0.001194,49.0202,1
пора_NOUN,word,пора,NOUN,0.000953,42.2729,3
багаж_NOUN,word,багаж,NOUN,0.000745,19.6658,4
прекршува_VERB,word,прекршува,VERB,0.00151,65.0831,1
смее_VERB,word,смее,VERB,0.002501,156.0245,1
нека_VERB,word,нека,VERB,0.001222,52.2383,1
насекаде_ADV,word,насекаде,ADV,0.001527,83.4057,3
народ_NOUN,word,народ,NOUN,0.005268,340.1549,2
предмет_NOUN,word,предмет,NOUN,0.003142,189.1582,3
вистина_NOUN,word,вистина,NOUN,0.00428,294.8211,3
грешка_NOUN,word,грешка,NOUN,0.000747,25.0547,3
почеток_NOUN,word,почеток,NOUN,0.001624,95.0543,3
стварност_NOUN,word,стварност,NOUN,0.001861,110.473,3
значи_VERB,word,значи,VERB,0.002212,129.2855,3
првин_ADV,word,првин,ADV,0.000988,45.05,3
разлика_NOUN,word,разлика,NOUN,0.000873,36.0497,3
порив_NOUN,word,порив,NOUN,0.001926,100.821,4
бесконечност_NOUN,word,бесконечност,NOUN,0.000652,18.3801,3
суштество_NOUN,word,суштество,NOUN,0.001172,45.552,4
особено_ADV,word,особено,ADV,0.000953,33.7537,3
тутун_NOUN,word,тутун,NOUN,0.002013,115.8534,2
троски_NOUN,word,троски,NOUN,0.001783,93.0384,4
висок_ADJ,word,висок,ADJ,0.004012,261.333,0
братски_ADJ,word,братски,ADJ,0.000588,10.2258,0
борба_NOUN,word,борба,NOUN,0.00392,268.8306,2
работник_NOUN,word,работник,NOUN,0.00086,36.0734,2
таговен_ADJ,word,таговен,ADJ,0.001482,65.9287,0
каже_VERB,word,каже,VERB,0.007813,543.9191,2
самовил_NOUN,word,самовил,NOUN,0.001324,58.2508,4
огин_NOUN,word,огин,NOUN,0.000528,9.0997,2
жали_VERB,word,жали,VERB,0.002986,187.764,2
селски_ADJ,word,селски,ADJ,0.000729,24.1136,0
карпа_NOUN,word,карпа,NOUN,0.003124,201.3832,0
раца_NOUN,word,раца,NOUN,0.002361,120.0741,4
изгори_VERB,word,изгори,VERB,0.001045,47.3763,1
некако_ADV,word,некако,ADV,0.001045,38.234,3
огледало_NOUN,word,огледало,NOUN,0.001654,95.1037,3
штотуку_ADV,word,штотуку,ADV,0.001072,31.7528,3
паѓа_VERB,word,паѓа,VERB,0.005934,399.7376,0
