poem_id,author,song_title,rank,lemma,tfidf_score
0,Петре М. Андреевски,Наопачно оро,1,таму,0.6417
0,Петре М. Андреевски,Наопачно оро,2,свирка,0.2615
0,Петре М. Андреевски,Наопачно оро,3,глува,0.2526
0,Петре М. Андреевски,Наопачно оро,4,лев,0.2452
0,Петре М. Андреевски,Наопачно оро,5,негде,0.2308
0,Петре М. Андреевски,Наопачно оро,6,оро,0.2308
0,Петре М. Андреевски,Наопачно оро,7,глув,0.2261
0,Петре М. Андреевски,Наопачно оро,8,слеп,0.2219
0,Петре М. Андреевски,Наопачно оро,9,нога,0.2001
0,Петре М. Андреевски,Наопачно оро,10,води,0.1965
1,Кочо Рацин,Балада за непознатиот,1,врба,0.3138
1,Кочо Рацин,Балада за непознатиот,2,делија,0.3088
1,Кочо Рацин,Балада за непознатиот,3,гроб,0.2644
1,Кочо Рацин,Балада за непознатиот,4,самовил,0.263
1,Кочо Рацин,Балада за непознатиот,5,чемрее,0.203
1,Кочо Рацин,Балада за непознатиот,6,лежи,0.1849
1,Кочо Рацин,Балада за непознатиот,7,јунак,0.1707
1,Кочо Рацин,Балада за непознатиот,8,брат,0.1581
1,Кочо Рацин,Балада за непознатиот,9,дига,0.1353
1,Кочо Рацин,Балада за непознатиот,10,зошто,0.1285
2,Гане Тодоровски,Молитва,1,мунѕосан,0.319
2,Гане Тодоровски,Молитва,2,остави,0.1888
2,Гане Тодоровски,Молитва,3,додатен,0.1595
2,Гане Тодоровски,Молитва,4,доразбери,0.1595
2,Гане Тодоровски,Молитва,5,малцина,0.1595
2,Гане Тодоровски,Молитва,6,мунѕосував,0.1595
2,Гане Тодоровски,Молитва,7,надзборев,0.1595
2,Гане Тодоровски,Молитва,8,ненужен,0.1595
2,Гане Тодоровски,Молитва,9,отпростум,0.1595
2,Гане Тодоровски,Молитва,10,прекорува,0.1595
3,Влада Урошевиќ,Слобода,1,откажува,0.3763
3,Влада Урошевиќ,Слобода,2,нужност,0.2946
3,Влада Урошевиќ,Слобода,3,свој,0.2192
3,Влада Урошевиќ,Слобода,4,сака,0.1846
3,Влада Урошевиќ,Слобода,5,крило,0.1642
3,Влада Урошевиќ,Слобода,6,зачекорува,0.1473
3,Влада Урошевиќ,Слобода,7,незадоволен,0.1473
3,Влада Урошевиќ,Слобода,8,растворлив,0.1473
3,Влада Урошевиќ,Слобода,9,решена,0.1473
3,Влада Урошевиќ,Слобода,10,спалува,0.1473
4,Кочо Рацин,Копачите,1,труд,0.2942
4,Кочо Рацин,Копачите,2,копачка,0.2073
4,Кочо Рацин,Копачите,3,копач,0.1959
4,Кочо Рацин,Копачите,4,карпа,0.1792
4,Кочо Рацин,Копачите,5,троски,0.1765
4,Кочо Рацин,Копачите,6,пелин,0.1722
4,Кочо Рацин,Копачите,7,црн,0.1611
4,Кочо Рацин,Копачите,8,јад,0.1491
4,Кочо Рацин,Копачите,9,морни,0.1382
4,Кочо Рацин,Копачите,10,пробуди,0.1382
6,Блаже Конески,Разделба,1,препречи,0.5392
6,Блаже Конески,Разделба,2,биди,0.3803
6,Блаже Конески,Разделба,3,заборава,0.2595
6,Блаже Конески,Разделба,4,пат,0.255
6,Блаже Конески,Разделба,5,тажен,0.2447
6,Блаже Конески,Разделба,6,вели,0.2073
6,Блаже Конески,Разделба,7,никогаш,0.2047
6,Блаже Конески,Разделба,8,може,0.2035
6,Блаже Конески,Разделба,9,градој,0.1797
6,Блаже Конески,Разделба,10,мостој,0.1797
7,Гане Тодоровски,Македонски јазик,1,стане,0.1696
7,Гане Тодоровски,Македонски јазик,2,век,0.1374
7,Гане Тодоровски,Македонски јазик,3,благослов,0.1365
7,Гане Тодоровски,Македонски јазик,4,смири,0.1365
7,Гане Тодоровски,Македонски јазик,5,клетва,0.1246
7,Гане Тодоровски,Македонски јазик,6,верен,0.1211
7,Гане Тодоровски,Македонски јазик,7,клет,0.1168
7,Гане Тодоровски,Македонски јазик,8,наш,0.1004
7,Гане Тодоровски,Македонски јазик,9,долг,0.0967
7,Гане Тодоровски,Македонски јазик,10,свет,0.095
8,Славко Јаневски,Осаменица,1,придружник,0.3993
8,Славко Јаневски,Осаменица,2,голтар,0.1996
8,Славко Јаневски,Осаменица,3,невратица,0.1996
8,Славко Јаневски,Осаменица,4,никита,0.1996
8,Славко Јаневски,Осаменица,5,пир,0.1996
8,Славко Јаневски,Осаменица,6,семожнику,0.1996
8,Славко Јаневски,Осаменица,7,сопнува,0.1996
8,Славко Јаневски,Осаменица,8,населува,0.1887
8,Славко Јаневски,Осаменица,9,господи,0.1809
8,Славко Јаневски,Осаменица,10,повика,0.1809
9,Ацо Шопов,Лузна,1,крва,0.4113
9,Ацо Шопов,Лузна,2,коњ,0.3333
9,Ацо Шопов,Лузна,3,иде,0.284
9,Ацо Шопов,Лузна,4,градина,0.2819
9,Ацо Шопов,Лузна,5,грло,0.2593
9,Ацо Шопов,Лузна,6,огради,0.1752
9,Ацо Шопов,Лузна,7,прегази,0.1752
9,Ацо Шопов,Лузна,8,ритне,0.1752
9,Ацо Шопов,Лузна,9,темнина,0.1717
9,Ацо Шопов,Лузна,10,копит,0.1656
10,Анте Поповски,Коледе,1,коледе-леде,0.4063
10,Анте Поповски,Коледе,2,гласче,0.2031
10,Анте Поповски,Коледе,3,дева,0.2031
10,Анте Поповски,Коледе,4,здание,0.2031
10,Анте Поповски,Коледе,5,израст,0.2031
10,Анте Поповски,Коледе,6,раздеви,0.2031
10,Анте Поповски,Коледе,7,торбе,0.2031
10,Анте Поповски,Коледе,8,убавее,0.2031
10,Анте Поповски,Коледе,9,оревче,0.192
10,Анте Поповски,Коледе,10,внуче,0.1841
11,Матеја Матевски,Патување,1,задреме,0.1997
11,Матеја Матевски,Патување,2,заклопен,0.1997
11,Матеја Матевски,Патување,3,монотон,0.1997
