word,pos,correction,lemma_fix,scope,author,song_title,context
6-те,NUM,DROP,,,Гане Тодоровски,Делнично будење на градот,бргу-бргу некаде помеѓу 6-те и 8-те часот .
`,,DROP,,,Ацо Шопов,Очи,и жалеа оти не . к ` е пламна г век'е .
`,NOUN,DROP,,,Ацо Шопов,Очи,и жалеа оти не . к ` е пламна г век'е .
ah,,DROP,,,Катица Ќулавкова,СЕКРЕТ,"tempora , ah mores !"
ah,NOUN,DROP,,,Катица Ќулавкова,СЕКРЕТ,"tempora , ah mores !"
infinitum-от,PROPN,,infinitum,,Богомил Ѓузел,"Лондон, Нова година 1965","ad infinitum-от на нашите дни ,"
Α,NOUN,DROP,,,Веле Смилевски,Свечена книга,Α свечено е.
Β,ADJ,DROP,,,Веле Смилевски,Бекграунд на книгата,Β лице и ликувале
Ε,ADJ,DROP,,,Веле Смилевски,Книгата репродукција,Ε благо пијанство
κ,NOUN,DROP,,,Веле Смилевски,Т.н. книга,на κ - кудена
ο,ADJ,DROP,,,Адем Гајтани,Удавената,ο девојче
ο,VERB,DROP,,,Веле Смилевски,Римувана книга,ο таа драга
Аз,,DROP,,,Милош Линдро,СВЕДОШТВОТО НА ЕНОХ ЗА АДАМА,"И од неа се зела буквата „ Аз "" ."
Аз,NOUN,DROP,,,Милош Линдро,СВЕДОШТВОТО НА ЕНОХ ЗА АДАМА,"И од неа се зела буквата „ Аз "" ."
Боже,,PROPN,,,Ефтим Клетников,ДЕТЕТО И ОКОТО НА ТЕМНИОТ - 3,"Но онаму кај трча , Боже ,"
Боже,NOUN,PROPN,,,Ефтим Клетников,ДЕТЕТО И ОКОТО НА ТЕМНИОТ - 3,"Но онаму кај трча , Боже ,"
Езеро,PROPN,NOUN,,,Славко Јаневски,Илинка сончева свршеница - 2,"Езеро бурно , бурно и лудо"
Ехо,ADV,NOUN,,,Ефтим Клетников,искуства 4.,Ехо напознатветер
Здивен,PROPN,ADJ,здивен,,Блаже Конески,СОНЧЕВА КОЛОНА,Здивен и злорад
Зелено,NOUN,ADJ,,,Милош Линдро,ОРФЕЈ,Од првото Езеро Зелено
Караорман,NOUN,PROPN,,,Блаже Конески,КАРАОРМАН,"Но не спие Караорман силен ,"
аедно,,DROP,,,Славко Јаневски,Гората за овчарот,3 аедно ... таго ... а не сум знаела
аедно,NOUN,DROP,,,Славко Јаневски,Гората за овчарот,3 аедно ... таго ... а не сум знаела
азури,PROPN,NOUN,,,Катица Ќулавкова,Αταραξια,средоземниот обрач од бездни и азури
ал,PROPN,NOUN,ал,,Бранко Цветкоски,СЕВЕРЕН ТАНЦ 8. (7),Собира ал
ами,PROPN,DROP,,,Блаже Конески,Камикаѕе,"редна рационалност ; дека тие не се сентиментални , ами"
ато,PROPN,DROP,,,Богомил Ѓузел,V,"но што ато нас , по нашто срце , по нашто сонце ,"
ајнштајн,PROPN,,Ајнштајн,,Ристо Лазаров,КАФЕ ТОРТОНИ,нема да ја разбере радоста на алберт ајнштајн
базје,PROPN,NOUN,база,,Матеја Матевски,Авантура,И базје и води и песни со грстови
бар,PROPN,ADV,,,Катица Ќулавкова,ЏОРДАНО БРУНО: „Ние сме веќе на небо“,но бар имаме сопствен пекол
бацуј,,VERB,бацува,,Блаже Конески,ЈАГОТКИ,"бацуј ја , бацуј , бацувај ,"
бацуј,NOUN,VERB,бацува,,Блаже Конески,ЈАГОТКИ,"бацуј ја , бацуј , бацувај ,"
бездетен,PROPN,ADJ,,,Бранко Цветкоски,ДЕНОТ ШТО ЗАВЛЕКУВА,Во домот бездетен
белено,PROPN,ADJ,,,Тодор Чаловски,Упија,платно белено
бери,PROPN,VERB,бере,,Ристо Лазаров,ГРЕШНИК,збунет ангел гревои бери
беседел,PROPN,VERB,беседи,,Бранко Цветкоски,АПОРИЈА. ЗЕМНА,Кајшто беседел
бессоница,PROPN,NOUN,,,Веле Смилевски,Забранета книга,Забрането плетење бессоница
бику,,NOUN,бик,,Блаже Конески,ТОРЕАДОР,"Омразо , бику , доста твојот рог"
бику,VERB,NOUN,бик,,Блаже Конески,ТОРЕАДОР,"Омразо , бику , доста твојот рог"
бич,PROPN,NOUN,,,Богомил Ѓузел,I,со бич а трозабецот на власта да се врати
благадуша,PROPN,ADJ,,,Пијан Славеј,КАЛЕМЕЊЕ,"благадуша , бушав"
бо,PROPN,DROP,,,Веле Смилевски,Болестите на книгата,бо
больно,,ADJ,,,Гане Тодоровски,Зимска прикаска,„ Что бы мне так больно и так трудно
больно,NOUN,ADJ,,,Гане Тодоровски,Зимска прикаска,„ Что бы мне так больно и так трудно
бродог,PROPN,DROP,,,Адем Гајтани,Осаменост,бродог влегува во луката
бунтар,PROPN,NOUN,,,Славко Јаневски,Твоја и моја земја - на Никола Јонков Вапцаров,бунтар
вали,PROPN,VERB,,,Бранко Цветкоски,БОГИНКИ,Вечерен дожд вали
вардач,PROPN,NOUN,,,Ристо Лазаров,ГАРДЕЛ,стамен вардач на облацнте набабрени од тага
варди,PROPN,VERB,,,Ристо Лазаров,МАЦЕДОНИО ФЕРНАНДЕЗ,и ги варди од уроци од кои се мочка во кревет
варта,PROPN,NOUN,вар,,Петре М. Андреевски,ТРЕТО ПИСМО,па гаснеше варта во моите очни витли
васа,PROPN,VERB,,,Адем Гајтани,Оганот,љубов со омраза се васа
вглобен,PROPN,VERB,вглоби,,Ефтим Клетников,псалм,од каменот во смртта вглобен
веда,PROPN,NOUN,,,Катица Ќулавкова,ОБЕЛИСК,веда устремена кон небесната матка
везба,PROPN,NOUN,,,Влада Урошевиќ,Попладневно капење в море,Котелец врз котелец се нижат : везба
велика,PROPN,ADJ,велик,,Милош Линдро,Господ Еноху (III),И со велика слава .
ветеров,PROPN,NOUN,ветер,,Славко Јаневски,Горка лирика во селската крчма,"волкот пред ветеров бега ,"
ветерчок,PROPN,NOUN,ветер,,Славко Јаневски,Балада за Црногорската мома,"Во вечери штом ветерчок ми се сплете в црни коси ,"
ветов,PROPN,ADJ,,,Милош Линдро,ЗЕМЈОМЕРОТ ЈА МЕРИ ВИСТИНАТА,"Бледожолт и ветов ,"
ветру,PROPN,NOUN,,,Ива Петреска,Врзана слобода,"Носи ме , ветру , до мојот дом ,"
видро,PROPN,ADJ,видар,,Катица Ќулавкова,VIA LASCIVA  2.,"десната е полезно , видро"
вис,PROPN,NOUN,вис,,Ефтим Клетников,псалм,се наоѓа на 1000 м. над . вис .
вишина,PROPN,NOUN,вис,,Блаже Конески,ТИШИНА,"вишина , ах вишина ."
волчица,PROPN,NOUN,волк,,Славко Јаневски,Калина,"волчица в гора изрипа ,"
воскресе,PROPN,VERB,воскресна,,Анте Поповски,Спроти Велигден 1979,"Христос воскресе , им рече старецот на домашните"
гора,PROPN,NOUN,,,Ацо Шопов,Партизанска колона,"нечујно гора шумоли ,"
дошто,,ADV,дошто,,Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,Оти дошто видов кула и пладневна топола
дошто,NOUN,ADV,дошто,,Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,Оти дошто видов кула и пладневна топола
жал,ADJ,NOUN,,,Блаже Конески,ЗАКОПНА ПЕСНА,"Нема да дојдам , не пуштив солза , не ми е жал ,"
жеден,NOUN,ADJ,,,Бранко Цветкоски,ЗЕМЈА. ПРИЧЕСНА. ЗОБ,Под неговата златна игла жеден
живо,NOUN,ADJ,,,Милош Линдро,Енох на шестото небо,Сето она што е живо
животните,ADJ,NOUN,,,Тодор Чаловски,Раните будења на мајка ми,целоста на стремењето пред животните брзаци
заборава,NOUN,,заборав,,Тодор Чаловски,Шаховско утро,долетани од некоја дамна заборава
збогум,NOUN,ADV,,,Блаже Конески,СОНЧЕВА КОЛОНА,за задно збогум со својот син ...
златен,NOUN,ADJ,,,Милош Линдро,ОРФЕЈ,Тргнал со листот златен
златно,ADV,ADJ,,,Кочо Рацин,Тутуноберачите,Кантарот носи лисјето златно
зори,ADJ,NOUN,,,Тодор Чаловски,Тајните на езерото,зори идни диплиме високо
изгрева,NOUN,VERB,,,Тодор Чаловски,Бегство,та саноќ си снежна вила до изгрева
ил,PROPN,DROP,,,Богомил Ѓузел,"Лондон, Hова година 1965","Што ќе добиеме што побргу да го поарчиме , ил"
исус,NOUN,PROPN,,,Ефтим Клетников,есеј : голгота,"распнатиот исус , кој и самиот е зрнце песок му"
к'е,PROPN,DROP,,,Славко Јаневски,Песна над мојата родина,кога над градот к'е појдат нашите работни чети .
катаден,ADJ,ADV,,,Ристо Лазаров,КАТАДЕН,катаден ми ги дрочиш
клета,NOUN,ADJ,,,Блаже Конески,6.,ни куршум свирнат од злоба клета
коси,VERB,,коси,,Ива Петреска,Градско дете,набрзина почна да ги коси полињата
лега,PROPN,ADJ,,,Блаже Конески,ДОЈРАН,на езеро сенка лега ...
леко,PROPN,ADJ,,,Славко Јаневски,Калина,"Трепетно , леко , нечујно"
лесноверци,PROPN,NOUN,лесноверец,,Гане Тодоровски,Нашинска (III),Итромани дудуци лесноверци
чемрее,VERB,,чемрее,,Кочо Рацин,Балада за непознатиот,чемрее врба проклета -
