poem_id,author,song_title,word,lemma,pos,xpos,feats
0,Петре М. Андреевски,Наопачно оро,игра,игра,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
0,Петре М. Андреевски,Наопачно оро,таму,таму,ADV,Rgp,Degree=Pos|PronType=Dem
0,Петре М. Андреевски,Наопачно оро,така,така,ADV,Rgp,Degree=Pos|PronType=Dem
0,Петре М. Андреевски,Наопачно оро,глуво,глув,ADJ,Afpns-n,Definite=Ind|Degree=Pos|Gender=Neut|Number=Sing
0,Петре М. Андреевски,Наопачно оро,време,време,NOUN,Ncnsnn,Case=Nom|Definite=Ind|Gender=Neut|Number=Sing
0,Петре М. Андреевски,Наопачно оро,глува,глува,ADJ,Afpfs-n,Definite=Ind|Degree=Pos|Gender=Fem|Number=Sing
0,Петре М. Андреевски,Наопачно оро,свирка,свирка,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
0,Петре М. Андреевски,Наопачно оро,води,води,VERB,Vmpip3s-n,Aspect=Prog|Mood=Ind|Number=Sing|Person=3|Polarity=Pos|Tense=Pres
0,Петре М. Андреевски,Наопачно оро,оро,оро,NOUN,Ncnsnn,Case=Nom|Definite=Ind|Gender=Neut|Number=Sing
0,Петре М. Андреевски,Наопачно оро,лева,лев,ADJ,Afpfs-n,Definite=Ind|Degree=Pos|Gender=Fem|Number=Sing
0,Петре М. Андреевски,Наопачно оро,нога,нога,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
0,Петре М. Андреевски,Наопачно оро,слепа,слеп,ADJ,Afpfs-n,Definite=Ind|Degree=Pos|Gender=Fem|Number=Sing
0,Петре М. Андреевски,Наопачно оро,страна,страна,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
0,Петре М. Андреевски,Наопачно оро,таму,таму,ADV,Rgp,Degree=Pos|PronType=Dem
0,Петре М. Андреевски,Наопачно оро,таму,таму,ADV,Rgp,Degree=Pos|PronType=Dem
0,Петре М. Андреевски,Наопачно оро,негде,негде,NOUN,Ncmsnn,Case=Nom|Definite=Ind|Gender=Masc|Number=Sing
0,Петре М. Андреевски,Наопачно оро,таму,таму,ADV,Rgp,Degree=Pos|PronType=Dem
1,Кочо Рацин,Балада за непознатиот,натаму,натаму,ADV,Rgp,Degree=Pos
1,Кочо Рацин,Балада за непознатиот,поле,поле,NOUN,Ncnsnn,Case=Nom|Definite=Ind|Gender=Neut|Number=Sing
1,Кочо Рацин,Балада за непознатиот,битолско,битолски,ADJ,Ag-ns-n,Definite=Ind|Gender=Neut|Number=Sing
1,Кочо Рацин,Балада за непознатиот,чемрее,чемрее,VERB,Vmpii-s-n,Aspect=Prog|Mood=Ind|Number=Sing|Polarity=Pos|Tense=Imp
1,Кочо Рацин,Балада за непознатиот,врба,врба,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,проклета,проклет,ADJ,Afpfs-y,Definite=Def|Degree=Pos|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,врбата,врба,NOUN,Ncfsny,Case=Nom|Definite=Def|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,незнаен,незнаен,ADJ,Afpms-n,Definite=Ind|Degree=Pos|Gender=Masc|Number=Sing
1,Кочо Рацин,Балада за непознатиот,гроб,гроб,NOUN,Ncmsnn,Case=Nom|Definite=Ind|Gender=Masc|Number=Sing
1,Кочо Рацин,Балада за непознатиот,гроб,гроб,NOUN,Ncmsnn,Case=Nom|Definite=Ind|Gender=Masc|Number=Sing
1,Кочо Рацин,Балада за непознатиот,лежи,лежи,VERB,Vmpip3s-n,Aspect=Prog|Mood=Ind|Number=Sing|Person=3|Polarity=Pos|Tense=Pres
1,Кочо Рацин,Балада за непознатиот,војник,војник,NOUN,Ncmsnn,Case=Nom|Definite=Ind|Gender=Masc|Number=Sing
1,Кочо Рацин,Балада за непознатиот,непознат,непознат,ADJ,Afpms-n,Definite=Ind|Degree=Pos|Gender=Masc|Number=Sing
1,Кочо Рацин,Балада за непознатиот,лежи,лежи,VERB,Vmpip3s-n,Aspect=Prog|Mood=Ind|Number=Sing|Person=3|Polarity=Pos|Tense=Pres
1,Кочо Рацин,Балада за непознатиот,војна,војна,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,световна,световен,ADJ,Afpfs-n,Definite=Ind|Degree=Pos|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,лежи,лежи,VERB,Vmpip3s-n,Aspect=Prog|Mood=Ind|Number=Sing|Person=3|Polarity=Pos|Tense=Pres
1,Кочо Рацин,Балада за непознатиот,веќе,веќе,ADV,Rgp,Degree=Pos
1,Кочо Рацин,Балада за непознатиот,земјосал,земјосал,NOUN,Ncmsnn,Case=Nom|Definite=Ind|Gender=Masc|Number=Sing
1,Кочо Рацин,Балада за непознатиот,силно,силно,ADV,Rgp,Degree=Pos
1,Кочо Рацин,Балада за непознатиот,тага,тага,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,изела,изеле,VERB,Vmeic-sfn,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Polarity=Pos
1,Кочо Рацин,Балада за непознатиот,задека,задека,VERB,Vmeia-s-n,Aspect=Perf|Mood=Ind|Number=Sing|Polarity=Pos|Tense=Past
1,Кочо Рацин,Балада за непознатиот,тука,тука,ADV,Rgp,Degree=Pos|PronType=Dem
1,Кочо Рацин,Балада за непознатиот,загинал,загине,VERB,Vmeic-smn,Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Polarity=Pos
1,Кочо Рацин,Балада за непознатиот,крај,крај,NOUN,Ncmsnn,Case=Nom|Definite=Ind|Gender=Masc|Number=Sing
1,Кочо Рацин,Балада за непознатиот,вишното,вишен,ADJ,Ag-ns-y,Definite=Def|Gender=Neut|Number=Sing
1,Кочо Рацин,Балада за непознатиот,небе,небе,NOUN,Ncnsnn,Case=Nom|Definite=Ind|Gender=Neut|Number=Sing
1,Кочо Рацин,Балада за непознатиот,земјата,земја,NOUN,Ncfsny,Case=Nom|Definite=Def|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,скришна,скришен,ADJ,Afpfs-n,Definite=Ind|Degree=Pos|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,гробот,гроб,NOUN,Ncmsny,Case=Nom|Definite=Def|Gender=Masc|Number=Sing
1,Кочо Рацин,Балада за непознатиот,врба,врба,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,стушена,стушене,VERB,Vmeia-s-n,Aspect=Perf|Mood=Ind|Number=Sing|Polarity=Pos|Tense=Past
1,Кочо Рацин,Балада за непознатиот,таде,таде,PROPN,Npmsnn,Case=Nom|Definite=Ind|Gender=Masc|Number=Sing
1,Кочо Рацин,Балада за непознатиот,гори,гори,NOUN,Ncfpnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Plur
1,Кочо Рацин,Балада за непознатиот,зелени,зелен,ADJ,Afp-p-n,Definite=Ind|Degree=Pos|Number=Plur
1,Кочо Рацин,Балада за непознатиот,сума,сума,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,гробишта,гробиште,NOUN,Ncnpnn,Case=Nom|Definite=Ind|Gender=Neut|Number=Plur
1,Кочо Рацин,Балада за непознатиот,лежеа,лежи,VERB,Vmpii3p-n,Aspect=Prog|Mood=Ind|Number=Plur|Person=3|Polarity=Pos|Tense=Imp
1,Кочо Рацин,Балада за непознатиот,делии,делија,NOUN,Ncfpnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Plur
1,Кочо Рацин,Балада за непознатиот,одбор,одбор,NOUN,Ncmsnn,Case=Nom|Definite=Ind|Gender=Masc|Number=Sing
1,Кочо Рацин,Балада за непознатиот,јунаци,јунак,NOUN,Ncmpnn,Case=Nom|Definite=Ind|Gender=Masc|Number=Plur
1,Кочо Рацин,Балада за непознатиот,татковина,татковина,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,паднати,паднат,ADJ,Ap--p-n,Definite=Ind|Number=Plur|VerbForm=Part
1,Кочо Рацин,Балада за непознатиот,полноќ,полноќ,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,дрвјата,дрвје,NOUN,Ncnpny,Case=Nom|Definite=Def|Gender=Neut|Number=Plur
1,Кочо Рацин,Балада за непознатиот,жалба,жалба,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,силна,силен,ADJ,Afpfs-n,Definite=Ind|Degree=Pos|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,свиваа,свива,VERB,Vmpii3p-n,Aspect=Prog|Mood=Ind|Number=Plur|Person=3|Polarity=Pos|Tense=Imp
1,Кочо Рацин,Балада за непознатиот,горските,горски,ADJ,Afp-p-y,Definite=Def|Degree=Pos|Number=Plur
1,Кочо Рацин,Балада за непознатиот,бистри,бистар,ADJ,Afp-p-n,Definite=Ind|Degree=Pos|Number=Plur
1,Кочо Рацин,Балада за непознатиот,езерца,езерце,NOUN,Ncnpnn,Case=Nom|Definite=Ind|Gender=Neut|Number=Plur
1,Кочо Рацин,Балада за непознатиот,силна,силен,ADJ,Afpfs-n,Definite=Ind|Degree=Pos|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,светлина,светлина,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,светеа,свети,VERB,Vmpii3p-n,Aspect=Prog|Mood=Ind|Number=Plur|Person=3|Polarity=Pos|Tense=Imp
1,Кочо Рацин,Балада за непознатиот,самовилите,самовил,NOUN,Ncmpny,Case=Nom|Definite=Def|Gender=Masc|Number=Plur
1,Кочо Рацин,Балада за непознатиот,една,еден,ADJ,Ag-fs-n,Definite=Ind|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,една,еден,ADJ,Ag-fs-n,Definite=Ind|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,идеа,идеа,NOUN,Ncfsnn,Case=Nom|Definite=Ind|Gender=Fem|Number=Sing
1,Кочо Рацин,Балада за непознатиот,гроб,гроб,NOUN,Ncmsnn,Case=Nom|Definite=Ind|Gender=Masc|Number=Sing
