poem_id,author,song_title,split
0,Петре М. Андреевски,Наопачно оро,val
1,Кочо Рацин,Балада за непознатиот,train
2,Гане Тодоровски,Молитва,train
3,Влада Урошевиќ,Слобода,train
4,Кочо Рацин,Копачите,train
5,Видое Подгорец,Убави зборови,test
6,Блаже Конески,Разделба,train
7,Гане Тодоровски,Македонски јазик,train
8,Славко Јаневски,Осаменица,train
9,Ацо Шопов,Лузна,train
10,Анте Поповски,Коледе,train
11,Матеја Матевски,Патување,val
12,Гане Тодоровски,Чекајќи ја Медеја,train
13,Блаже Конески,Бура,train
14,Игор Исаковски,Смртта има коса од морска трева,val
15,Матеја Матевски,Епитаф,train
16,Кочо Рацин,Утрото над нас,train
17,Петре М. Андреевски,До кога,train
18,Богомил Ѓузел,Пролет во апокалипса,train
19,Лилјана Дирјан,Стравот мој,train
20,Влада Урошевиќ,Прашања,val
21,Ацо Караманов,Деца на борбата,val
22,Влада Урошевиќ,Попладневно капење в море,train
23,Анте Поповски,Само чемрееме,train
24,Игор Исаковски,Едно мало писмо,train
25,Ацо Шопов,Август,train
26,Славко Јаневски,Очи,train
27,Гане Тодоровски,Недостижна,train
28,Петре М. Андреевски,Летно пладне,train
29,Ацо Шопов,Љубов,train
30,Богомил Ѓузел,Во глуво доба од ноќта,val
31,Ацо Караманов,Елегија,train
32,Катица Ќулавкова,Исповед,train
33,Раде Силјан,Желба,test
34,Тихомир Јанчовски,Доаѓа есен,val
35,Лилјана Дирјан,Светот – мојот брат,train
36,Игор Исаковски,Непрекинливо движење,train
37,Петре М. Андреевски,Како ќе го најдеш Ристо Шишков,train
38,Анте Поповски,Тие малечки нешта околу нас,val
39,Коле Неделковски,Скитник,test
40,Раде Силјан,Последниот роденден на Матеја,val
41,Катица Ќулавкова,Ода на македонскиот јазик,train
42,Богомил Ѓузел,Бдеење,train
43,Ацо Караманов,И можеби ти ќе дојдеш тогаш,test
44,Гане Тодоровски,Зимска прикаска,train
45,Славко Јаневски,Мост,val
46,Ацо Шопов,Ноќта,train
47,Катица Ќулавкова,Ужас без крај (обична песна),train
48,Анте Поповски,Наслутувања,test
49,Лилјана Дирјан,Концерт за мирис и оркестар,val
50,Ацо Шопов,Партизанска колона,train
51,Игор Исаковски,Од сино кон црно,test
52,Влада Урошевиќ,Непозната,train
53,Јосип Коцев,Разминувања,val
54,Матеја Матевски,Трева,train
55,Матеја Матевски,Сон,train
56,Блаже Конески,Претходница,train
57,Петре М. Андреевски,Лицето на зборовите,train
58,Ацо Шопов,Ако сведнам понекогаш глава,train
59,Гане Тодоровски,Обична песна,train
60,Игор Исаковски,Ќе спијам,train
61,Ацо Шопов,"Знам, ти сега сама замислена минеш",test
62,Видое Подгорец,Нема љубов,train
63,Лилјана Дирјан,Пурпур,train
64,Матеја Матевски,Свети Трифун,train
65,Петре М. Андреевски,Ко да беше лани,train
66,Славко Јаневски,Тогаш ќе умре и љубовта,train
67,Анте Поповски,Свештен страв,train
68,Блаже Конески,Поглед,train
69,Кочо Рацин,Ленка,train
70,Петре М. Андреевски,Тоа таму,train
71,Анте Поповски,Кога си далеку,train
72,Ацо Шопов,Кажи ми небо,train
73,Коле Неделковски,Не колни,val
74,Игор Исаковски,Таа соба,train
75,Богомил Ѓузел,Како горе така доле,train
76,Видое Подгорец,Без јазик си никој и ништо,val
77,Гане Тодоровски,Гоце Делчев,train
78,Кочо Рацин,Татунчо,train
79,Анте Поповски,Сè друго надежта ќе го стори,train
80,Ванчо Николески,Песна за Гоце,train
81,Ацо Шопов,Кон галебот што кружи над мојата глава,val
82,Анте Поповски,Време,train
83,Рајко Жинзифов,Глас,train
84,Славко Јаневски,Срце,train
85,Блаже Конески,Неизвесност,train
86,Ацо Шопов,И уште еднаш црно сонце,train
87,Тихомир Јанчовски,Те чекам,test
88,Ацо Шопов,Треба да бидеме подобри,train
89,Влада Урошевиќ,Крајот на летото,train
90,Анте Поповски,Кон Македонија,train
91,Славко Јаневски,Јазик,test
92,Богомил Ѓузел,Хаос,train
93,Игор Исаковски,Те боли црната светлина што те очекува,train
94,Блаже Конески,Осаменост,train
95,Матеја Матевски,Прогонети од рајот,train
96,Влада Урошевиќ,Лоши соништа,train
97,Јосип Коцев,Во овој свет,train
98,Анте Поповски,Мојот татко,train
99,Петре М. Андреевски,Таа,train
100,Лилјана Дирјан,Наеднаш срцето ми се стеснило,train
101,Гане Тодоровски,Нашинска (III),train
102,Ацо Шопов,Сам со својот пламен во градите,test
103,Јован Котески,Април,train
104,Матеја Матевски,Поле,train
105,Анте Поповски,Расфрлани се моите мисли,train
106,Лилјана Дирјан,Оваа ноќ,train
107,Славко Јаневски,Ивец,train
108,Јосип Коцев,Зандана,train
109,Игор Исаковски,"Дожд, денеска",train
110,Блаже Конески,Спомен по многу години,train
111,Ацо Шопов,Лист,train
112,Кочо Рацин,Печал,train
113,Матеја Матевски,Прва ноќ,train
114,Катица Ќулавкова,"Скршени, набожни",train
115,Анте Поповски,Ќе ме најдеш,train
116,Игор Исаковски,Племе од двајца,train
117,Матеја Матевски,Езеро,test
118,Ацо Шопов,Гледач во пепелта,train
119,Тихомир Јанчовски,Љубовта умира…,train
120,Петре М. Андреевски,Сеќавање,val
121,Матеја Матевски,На пат,train
122,Гане Тодоровски,Ноќ без интерпункција,train
123,Јосип Коцев,Април ко да не бил,train
124,Кочо Рацин,До еден работник,train
125,Ацо Шопов,Тажачка од онаа страна на животот,train
126,Влада Урошевиќ,Паника,train
127,Игор Исаковски,Залегнат врз стихови,val
128,Петре М. Андреевски,Проштенски поклади,train
129,Анте Поповски,Не смеам да заспијам – ќе ми исчезне од сонот,val
130,Матеја Матевски,Авантура,train
131,Блаже Конески,Немир,train
132,Игор Исаковски,Ајде,train
133,Лилјана Дирјан,Рабови,test
134,Јосип Коцев,"Сѐ што ќе создадам, отсега ќе чекори кон тебе",train
135,Ацо Шопов,Ноќен извор,train
136,Петре М. Андреевски,Песна за нејзината песна,train
137,Ацо Шопов,Илузија,train
138,Гане Тодоровски,Песна што треба да ја напишам,test
139,Гане Тодоровски,Пречек,train
140,Тихомир Јанчовски,Не е до мене,train
141,Ацо Караманов,Тајна,train
142,Ацо Шопов,Младост,train
143,Јосип Коцев,Изгубените љубови,test
144,Анте Поповски,Спроти Велигден 1979,train
145,Ацо Шопов,Notre Dame,train
146,Радован Павловски,Театар на мртвите,train
147,Анте Поповски,TOHU VA BOHU 2,train
148,Анте Поповски,Книга врзана со синџири,train
149,Ацо Шопов,Седма молитва на моето тело,train
150,Коле Неделковски,Причинуење,train
151,Блаже Конески,Лажни пророци,train
152,Кочо Рацин,Денови,train
153,Ацо Шопов,Убавината,train
154,Влада Урошевиќ,Поети,train
155,Матеја Матевски,Дождови,train
156,Петре М. Андреевски,Кукавица,test
157,Гане Тодоровски,Фуснота без повод,train
158,Анте Поповски,Македонија,train
159,Игор Исаковски,Нека,train
160,Блаже Конески,Татковина,train
161,Петре М. Андреевски,Летување,train
162,Раде Силјан,Лажно време,train
163,Никола Вапцаров,Земја,train
164,Кочо Рацин,Елегии за тебе,train
165,Анте Поповски,Секој саме,test
166,Ацо Шопов,Го барам својот глас,test
167,Влада Урошевиќ,Нерамнотежа,train
168,Петре М. Андреевски,Има денови,train
169,Ацо Шопов,Ветрот носи убаво време,val
170,Матеја Матевски,Ѕвона,train
171,Блаже Конески,Снег,train
172,Петре М. Андреевски,Тешко мене,test
173,Гане Тодоровски,Еден човек,train
174,Ацо Шопов,Старо купувам,train
175,Никола Вапцаров,Проштално,train
176,Богомил Ѓузел,Твоите пет минути,val
177,Гане Тодоровски,Делнично будење на градот,val
178,Ацо Шопов,Во тишина,train
179,Игор Исаковски,Ноќта добива крилја,train
180,Петре М. Андреевски,Тркалезни форми,train
181,Гане Тодоровски,Нашинска,train
182,Анте Поповски,Од сина тишина зборови,train
183,Игор Исаковски,"Кршење, прекршување",test
184,Гане Тодоровски,Скица за првото писмо до Ема Гермова,train
185,Блаже Конески,Себесоздавање,train
186,Славко Јаневски,Цветови,train
187,Цане Андреевски,Човек седи крај езеро,train
188,Ацо Шопов,Утре,train
189,Ацо Шопов,Кога ти е најтешко,train
190,Анте Поповски,Две тишини,train
191,Матеја Матевски,Целиот живот ми се спомените,train
192,Гане Тодоровски,Сонет,test
193,Славко Јаневски,Танчерка на дланка,val
194,Петре М. Андреевски,Првата разделба,train
195,Влада Урошевиќ,Тајната на сонувачите,train
196,Гане Тодоровски,Биографија,train
197,Блаже Конески,Преживување,val
198,Петре М. Андреевски,1903,val
199,Анте Поповски,Љубовна,train
200,Цане Андреевски,Во тишината,train
201,Игор Исаковски,Како здив,train
202,Ацо Шопов,Ти не си секогаш таков,train
203,Никола Маџиров,Сенките нè одминуваат,train
204,Ацо Шопов,Ќе те сретнам по многу лета,val
205,Ацо Шопов,Небиднина,train
206,Блаже Конески,Разговор,train
207,Кочо Рацин,На Струга дуќан да имам,test
208,Кочо Рацин,Проштавање,train
209,Кочо Рацин,Селска мака,train
210,Кочо Рацин,Тутуноберачите,val
211,Гане Тодоровски,4ти мај 1903,val
212,Адем Гајтани,Лебедовата песна,train
213,Адем Гајтани,Коњот,train
214,Адем Гајтани,ΚАМЕН,train
215,Адем Гајтани,Ρека,train
216,Адем Гајтани,Осаменост,train
217,Адем Гајтани,Дожд врнеше како во песните на Жак Превер,val
218,Адем Гајтани,Зеленило,test
219,Адем Гајтани,Κрвта,train
220,Адем Гајтани,Темјанушка,test
221,Адем Гајтани,Оганот,train
222,Адем Гајтани,Водата,train
223,Адем Гајтани,Воздухот,train
224,Адем Гајтани,Земјата,train
225,Адем Гајтани,Земја без граници,train
226,Адем Гајтани,Автомобилот,test
227,Адем Гајтани,Тротоарот,test
228,Адем Гајтани,Ножот,train
229,Адем Гајтани,Пејсажот од мојот пат,train
230,Адем Гајтани,Доаѓање на пролетта,train
231,Адем Гајтани,(И облакот и месецот и сонцето),train
232,Адем Гајтани,(Јас се чувствувам постар за еден век),train
233,Адем Гајтани,(Κако оживувам во прегратка твоја),train
234,Адем Гајтани,Легенда,train
235,Адем Гајтани,Атина,train
236,Адем Гајтани,Рим,train
237,Адем Гајтани,Стамбол,train
238,Адем Гајтани,Три верзии за една легенда,train
239,Адем Гајтани,Μетафора,val
240,Адем Гајтани,Ηаречници,train
241,Адем Гајтани,Βреме I,train
242,Адем Гајтани,Βреме 47,train
243,Адем Гајтани,Βреме 48,train
244,Адем Гајтани,Нишалка за мојата ќерка,train
245,Адем Гајтани,Ѕидна фотографија,train
246,Адем Гајтани,Κанцеларија,val
247,Адем Гајтани,Столица,train
248,Адем Гајтани,Архитектура,train
249,Адем Гајтани,Еден од патиштата мои,val
250,Адем Гајтани,Удавената,train
251,Адем Гајтани,Бохинско езеро,train
252,Адем Гајтани,Весна и јас,train
253,Адем Гајтани,Рибите од Бохињ,train
254,Адем Гајтани,Мојот гулаб,train
255,Адем Гајтани,Откритие на една маѓесна убавица во пирамида,train
256,Адем Гајтани,Φатаморгана,train
257,Константин Миладинов,Бисера,test
258,Константин Миладинов,Голапче,val
259,Константин Миладинов,Т'га за југ,train
260,Веле Смилевски,Концепт за книга,test
261,Веле Смилевски,Книгата Одглас,train
262,Веле Смилевски,Напуштена книга,val
263,Веле Смилевски,Болестите на книгата,train
264,Веле Смилевски,Бекграунд на книгата,test
265,Веле Смилевски,Забранета книга,train
266,Веле Смилевски,Книга на слободата,train
267,Веле Смилевски,Книгата ѕид,test
268,Веле Смилевски,Студена книга,train
269,Веле Смилевски,Книгата идеја,val
270,Веле Смилевски,Книгата поттекст,train
271,Веле Смилевски,Книгата есеј,train
272,Веле Смилевски,Книга на Епигоните,train
273,Веле Смилевски,Алтернативна книга,train
274,Веле Смилевски,Првата книга Мојсеева,train
275,Веле Смилевски,Митска книга (Прва),train
276,Веле Смилевски,Митска книга (Втора),train
277,Веле Смилевски,Митска книга (Трета),train
278,Веле Смилевски,Идеална книга,train
279,Веле Смилевски,Книгата репродукција,train
280,Веле Смилевски,Свечена книга,train
281,Веле Смилевски,Книга на стравот,train
282,Веле Смилевски,Белата книга на Маноли Аанагностаки,train
283,Веле Смилевски,Римувана книга,val
284,Веле Смилевски,КНнигата театар,train
285,Веле Смилевски,Т.н. книга,train
286,Веле Смилевски,Гола книга,train
287,Веле Смилевски,Хаику книга,train
288,Веле Смилевски,Книгата препознавање,train
289,Веле Смилевски,Огнена книга,train
290,Веле Смилевски,Времето на книгата,train
291,Веле Смилевски,Одаите на книгата,train
292,Веле Смилевски,Телото на книгата,train
293,Веле Смилевски,Еротска книга,train
294,Веле Смилевски,Коњите на книгата,val
295,Веле Смилевски,Заборавена книга,test
296,Веле Смилевски,Предметите на книгата,train
297,Веле Смилевски,Книгата фрагмент,val
298,Веле Смилевски,Едноставна книга,train
299,Веле Смилевски,Заробена книга (1.),train
300,Веле Смилевски,Заробена книга (2.),train
301,Веле Смилевски,Заробена книга (3.),train
302,Веле Смилевски,Книгата куќа,train
303,Веле Смилевски,Книга на животот,train
304,Веле Смилевски,Книга на смртта,test
305,Веле Смилевски,Книгата планина,train
306,Веле Смилевски,Книгата НИЕ,train
307,Веле Смилевски,Книга за сослушување,train
308,Веле Смилевски,Книгата кафез,train
309,Славко Јаневски,Четирите,train
310,Славко Јаневски,Ајдучка легенда,train
311,Славко Јаневски,Девојка  и  сокол,train
312,Славко Јаневски,Челник Пејо,train
313,Славко Јаневски,Три неволји,train
314,Славко Јаневски,Илинка сончева свршеница - 1,train
315,Славко Јаневски,Илинка сончева свршеница - 2,train
316,Славко Јаневски,Илинка сончева свршеница - 3,train
317,Славко Јаневски,Илинка сончева свршеница - 4,train
