example_id,source_poem_id,source_author,source_title,target_author,split,sample_index,generated_poem,model,backend,delta_lines,delta_stanzas,delta_tokens_per_line,delta_lines_per_stanza,log_path,timestamp
825_Славко Јаневски_0,825,Пијан Славеј,НЕКОГАШ ЗАПАЃАМ ВО ДЛАБОКА ЛИРИКА,Славко Јаневски,train,0,"Запаѓив во еден сон длабок,
Улица Гоце стои многу студена.
Светот брзо и далечно замина,
старото време тече, реката тече,
мојата осамена душа загина.

Комшијат Марко офарбал бел ѕид,
бела боја, сјајна тама.
Тој гледа, јас долго стојам,
раката трепере, срцето силно чука,
белата боја капна, земјата прима,
ѕидот седи цврст и студен.

Кирија стои долго неплатена,
горе стар господар гласно вика,
пари јас целосно запоставив,
собата празна, студена ноќ,
тешкиот живот се плаќа.

Лирика умирачки во ноќ се пее,
ебати овој живот тежок и празен,
срцето крши стклена ноќ,
сеќавања бледа, стари слики,
судбина сурова, патока тесна,
целиот свет конечно замолче.

Чаша вино, пијанство диво,
сокол лета кон златна зора,
последни зборови, тешка тага,
цвете падна на влажна земја,
јас конечно заминав.",gemma-4-31b-it,google,0.43,-0.03,-0.35,0.12,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T195741.085900+0000__Пијан_Славеј__Славко_Јаневски.json,2026-09-15T19:57:41.085900+00:00
825_Влада Урошевиќ_0,825,Пијан Славеј,НЕКОГАШ ЗАПАЃАМ ВО ДЛАБОКА ЛИРИКА,Влада Урошевиќ,train,0,"Длабок сон плови среде сиви ѕидовите.
Лирика мижи, времето запостави патишта.
Човекот запаѓи во туѓи сенките.
Светот минува, прашина лети над главите.

Сосед офарбал фасада, боја тропа по ѕидот.
Кирија чека, рака не плаќа време.
Гледа умирачки поглед, стакло се крши.
Сфаќа: јас лажам, празна е вистината.
Смрт мижи во агол на собата.

Ебати живот, чаша вино плови низ ноќте.
Пијанство, крик, бавча, ридот молчи кроце.
Зборови, празно шише, ветер дува.
Душот се губи, патот води кон ништото.
Сенка плови, праг се затвора.",gemma-4-31b-it,google,0.1,0.02,-0.22,0.01,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T200019.805739+0000__Пијан_Славеј__Влада_Урошевиќ.json,2026-09-15T20:00:19.805739+00:00
825_Катица Ќулавкова_0,825,Пијан Славеј,НЕКОГАШ ЗАПАЃАМ ВО ДЛАБОКА ЛИРИКА,Катица Ќулавкова,train,0,"Длабок сон во сиви нити.
Запаѓи лирика на темното дното.
Сенки од некои чудни суштества.
Особено тешката, чудната стварноста.
Студени и многу чупливи предметите.
Тишината на еден празен простор.

Соседски ѕид со свежа боја.
Офарбал бела, чиста, нова фасада.
Гледа народот низ стаклен прозорец.
Поривите на еден ладен ветер.
Станале сиви, бледи, далечни сенки.
Студен поглед кон празната улицата.

Неплатена кирија на дрвена масата.
Запостави време, старите, прашни денови.
Пари што некој веќе плаќа.
Сметки од некои стари хартии.
Тешката реалноста на секојдневното.
Значи само една голема празнина.

Умирачки поглед во стаклото огледалото.
Ебати оваа горка, тешка судбината.
Скршени стакли, остатоци од срце.
Фрагменти од едно заборавено телото.
Мртви привиденија во далечни соништа.
Сенка на една темна ноќта.

Пијанство на еден див крај.
Заветна ноќ, една последна чаша.
Заборав на моето сопственото името.
Острото сечило на болната лирика.
Студена, тешка, последна, долга молитва.
Сè е налик на смртта.",gemma-4-31b-it,google,0.77,0.25,0.33,-0.15,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T200356.400633+0000__Пијан_Славеј__Катица_Ќулавкова.json,2026-09-15T20:03:56.400633+00:00
825_Братислав Ташковски_0,825,Пијан Славеј,НЕКОГАШ ЗАПАЃАМ ВО ДЛАБОКА ЛИРИКА,Братислав Ташковски,train,0,"Длабоко во сонот запаѓа,
светот него го запоставија,
ѕидот долго го гледа,
сосед веќе го офарба,
киријата долго не ја плаќа,
ебати оваа лирика,
сакам повторно да пишувам,
стиховите умирачки тивно паѓа,
бавно и тешко борам,
едно зрнце вистина,
силно сакам сега да пијам,
наскоро сè брзо завршува,
направив една книга,
повторно во празната гледа.",gemma-4-31b-it,google,-0.27,-0.18,-0.56,1.89,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T200547.150803+0000__Пијан_Славеј__Братислав_Ташковски.json,2026-09-15T20:05:47.150803+00:00
825_Веле Смилевски_0,825,Пијан Славеј,НЕКОГАШ ЗАПАЃАМ ВО ДЛАБОКА ЛИРИКА,Веле Смилевски,train,0,"Длабока лирика на сонот
Западната единица во празната
Одглас на далечната страна
Тешка завеса на светот
Светот што замина

Сосед во белите одаите
Свежа боја на ѕидот
Офарбана куќата на соседа
Неплатена кирија за собата
Запоставена плаќа во книгата

Умирачки поглед кон празната
Ебати книгата на смртта
Црни кориците на единицата
Мртва единица во одаите
Гледање во длабоката ноќта

Пијан одглас на заминувањето
Див замин низ градот
Зевс во стаклана чашата
Последната лирика на смртта
Скопје во темната ноќта
Завршена книга на живото",gemma-4-31b-it,google,-0.27,-0.29,-0.34,0.29,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T200800.816032+0000__Пијан_Славеј__Веле_Смилевски.json,2026-09-15T20:08:00.816032+00:00
825_Ристо Лазаров_0,825,Пијан Славеј,НЕКОГАШ ЗАПАЃАМ ВО ДЛАБОКА ЛИРИКА,Ристо Лазаров,train,0,"длабока лирика на сонот
севезден мир во јавата
заборавена страна на овој светот

запоставени патишта на времето
сетне тага во тесните градите
западната црна тешка ноќта

сосед со бела четката
свежа боја на ѕидот
офарбана фасада на куќата

неплатена кирија на месекот
талка прашина по прашниот подот
долг на стариот лут сопственикот

ебати овој празен животот
умирачки поглед во празно ништото
студена троа на темниот гробот

мераци на силна ракијата
среде пладнина на овој денот
последна чаша на долго заминувањето

туѓинец во севезден севезот
гледањето на туѓи лицата
тишината на големиот тежок крајот",gemma-4-31b-it,google,-0.35,-0.23,-0.15,0.05,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T201057.439644+0000__Пијан_Славеј__Ристо_Лазаров.json,2026-09-15T20:10:57.439644+00:00
825_Адем Гајтани_0,825,Пијан Славеј,НЕКОГАШ ЗАПАЃАМ ВО ДЛАБОКА ЛИРИКА,Адем Гајтани,train,0,"Сон, Скопје, еден длабок јам.
Лирика, тишина, мојата душа плаче.
Гледаат тажните очи во ката.
Светот оди, стародавно време тече.
Јас запаѓив во бела школката.
Тркалезна тага, голема празнината.

Марко, соседот, белиот ѕид офарбал.
Боја, четка, една бела фасада.
Кирија, пари, стариот господар плаќа.
Јас запоставив сè, сите вилиците.
Долг, сметка, една прашна соба.
Животот излегува од дрвена вратата.

Умирачки поглед, една ладна земја.
Божилото, камен, една тешка ноќ.
Гледа смртта, едно лицето бледо.
Претвораш пепел, прах, цела вечноста.
Сенки, улици, сите заборавените луѓе.
Длабокото море, една темна вода.

Ебати се, стакла, чаша, вино.
Пијанство, крик, една последната ноќ.
Гледај ме, јас сега заминувам.
Оган, чад, една црвена линија.
Збогување, ветер, празна раката.
Светот спие, јас бавно исчезнувам.",gemma-4-31b-it,google,-0.24,-0.07,0.13,0.04,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T201336.771707+0000__Пијан_Славеј__Адем_Гајтани.json,2026-09-15T20:13:36.771707+00:00
146_Ефтим Клетников_0,146,Радован Павловски,Театар на мртвите,Ефтим Клетников,train,0,"Театар е Смртта во ноќта.
Темниот води луѓе низ залата.
Свеќата гори во очите на луѓето.
Душите гледаат сцената.
Скопје е во сцената на смртта.

Актерот игра живот на сцената.
Суфлерот шепоти зборовите.
Улогата се раскинува.
Спектаклото избива.
Животот е играта.

Гробовите са тишината на ноќта.
Се гледа вистината.
Светоста прска во очите.
Душата се буди во смртта.
Светот вее над гробовите.",gemma-4-31b-it,google,0.13,-0.27,-0.64,0.45,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T202011.172085+0000__Радован_Павловски__Ефтим_Клетников.json,2026-09-15T20:20:11.172085+00:00
146_Влада Урошевиќ_0,146,Радован Павловски,Театар на мртвите,Влада Урошевиќ,train,0,"Театар студ седалишта души во ноќта
Контролор свеќа восок пламен минува во рацете
Помеѓу редовите лежи тешка тишината
Сенки гледаат живот од далечината

Актери сцена текст суфлери во гласовите
Суфлер лажам плови низ пустошта
Маски лицеви движења мижи во мракот
Тензија коска нив во мигот
Сценографија прашина светлина во етерот трепери

Сфаќа душата јасност во смртта
Пулс виталност цвеќе врне од таванот
Живот театар кој конечно се затвори
Ридот на сеќавањата молчи во темнината
Вистина блеска помеѓу сите светови",gemma-4-31b-it,google,0.1,0.02,-0.51,0.01,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T203346.257401+0000__Радован_Павловски__Влада_Урошевиќ.json,2026-09-15T20:33:46.257401+00:00
146_Веле Смилевски_0,146,Радован Павловски,Театар на мртвите,Веле Смилевски,train,0,"Темниот театар на големата смртта
Црната тешка густа завеса
Празни прашни седалишта дрво
Заборавена стара сцена прашина
Мртвиот студен темен простор
Сенки на една празна sala

Свеќар со една бела свеќа
Водич низ темните одаите
Души-гледачи во долги редови
Забранета вистина на живото
Сенки од Скопско минато

Актери на сопствен темен живот
Суфлер-глас од длабочината
Стари уметници на човечка болка
Книгата на заборавените денови
Сцени од празна вистина

Јасна светлина во големиот мрак
Жив верот на сите мртвите
Забрането знаење на душата
Театар на вечната тишина
Светлата вистина на крајот",gemma-4-31b-it,google,-0.27,-0.29,0.0,0.29,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T203727.365451+0000__Радован_Павловски__Веле_Смилевски.json,2026-09-15T20:37:27.365451+00:00
