node_id,node_type,lemma,pos,pagerank,weighted_degree,community
Петре М. Андреевски,author,,,0.001938,1.2301,0
Кочо Рацин,author,,,0.000446,1.4772,1
Гане Тодоровски,author,,,0.00044,1.0283,1
Влада Урошевиќ,author,,,0.00217,1.5435,0
Блаже Конески,author,,,0.001346,1.3695,0
Славко Јаневски,author,,,0.000553,1.0406,1
Ацо Шопов,author,,,0.000421,1.0238,1
Анте Поповски,author,,,0.003126,1.6147,2
Матеја Матевски,author,,,0.003295,1.3147,3
Игор Исаковски,author,,,0.001609,1.5751,4
Богомил Ѓузел,author,,,0.001081,1.4907,0
Лилјана Дирјан,author,,,0.001189,1.2637,5
Катица Ќулавкова,author,,,0.000428,0.7719,4
Јосип Коцев,author,,,0.003405,1.8831,5
Адем Гајтани,author,,,0.001894,1.6886,0
Веле Смилевски,author,,,0.002711,0.9588,5
Тодор Чаловски,author,,,0.001574,1.0078,4
Милош Линдро,author,,,0.003246,1.3897,2
Бранко Цветкоски,author,,,0.001206,1.1125,2
Пијан Славеј,author,,,0.001984,1.2376,0
Ефтим Клетников,author,,,0.001729,1.6803,0
Братислав Ташковски,author,,,0.000419,1.192,4
Ристо Лазаров,author,,,0.00118,1.1832,5
Ива Петреска,author,,,0.00179,1.1847,4
април_NOUN,word,април,NOUN,0.000794,4.2121,4
атом_NOUN,word,атом,NOUN,0.000636,0.1658,5
какви_ADJ,word,какви,ADJ,0.000749,6.1595,2
жила_ADJ,word,жила,ADJ,0.000612,0.1505,5
оди_VERB,word,оди,VERB,0.01298,535.1983,1
затвореник_NOUN,word,затвореник,NOUN,0.000531,0.0979,5
сличен_ADJ,word,сличен,ADJ,0.000575,2.0979,1
казнет_ADJ,word,казнет,ADJ,0.000531,0.0979,5
четврток_NOUN,word,четврток,NOUN,0.000575,2.0979,5
нанижани_ADJ,word,нанижани,ADJ,0.000531,0.0979,5
цут_NOUN,word,цут,NOUN,0.000572,2.0979,2
учител_NOUN,word,учител,NOUN,0.000617,4.0979,5
чоколадо_NOUN,word,чоколадо,NOUN,0.000576,2.0979,4
маска_NOUN,word,маска,NOUN,0.000821,14.0979,4
развеани_ADJ,word,развеани,ADJ,0.000531,0.0979,5
плати_VERB,word,плати,VERB,0.001356,40.0979,5
божилото_ADJ,word,божилото,ADJ,0.000718,12.1388,1
дол_NOUN,word,дол,NOUN,0.001537,51.0561,2
риба_NOUN,word,риба,NOUN,0.003918,159.0557,2
претвораш_ADJ,word,претвораш,ADJ,0.000433,0.0557,0
езеро_NOUN,word,езеро,NOUN,0.004149,155.0552,5
вилица_NOUN,word,вилица,NOUN,0.000977,26.054,2
игла_NOUN,word,игла,NOUN,0.000989,27.054,2
тркалезен_PROPN,word,тркалезен,PROPN,0.000431,0.054,0
школка_NOUN,word,школка,NOUN,0.001463,49.054,2
череп_NOUN,word,череп,NOUN,0.000468,2.049,1
гледа_VERB,word,гледа,VERB,0.027024,1050.0522,1
излегува_VERB,word,излегува,VERB,0.00088,21.0522,1
поет_NOUN,word,поет,NOUN,0.004529,189.1174,4
бог_NOUN,word,бог,NOUN,0.006388,250.0513,2
бара_VERB,word,бара,VERB,0.011081,461.1079,4
кат_NOUN,word,кат,NOUN,0.002173,84.0513,1
заборавен_ADJ,word,заборавен,ADJ,0.001878,56.1395,4
наваму_ADV,word,наваму,ADV,0.000591,2.1015,1
прост_ADJ,word,прост,ADJ,0.0006,2.1015,1
малечки_ADJ,word,малечки,ADJ,0.000547,0.1015,2
крст_NOUN,word,крст,NOUN,0.001197,29.0921,4
еве_ADV,word,еве,ADV,0.000597,4.0831,4
нешто_NOUN,word,нешто,NOUN,0.002382,87.0829,2
негов_ADJ,word,негов,ADJ,0.011275,476.0829,2
молчи_VERB,word,молчи,VERB,0.001528,46.0819,4
спречи_VERB,word,спречи,VERB,0.00056,2.0819,4
коледе_PROPN,word,коледе,PROPN,0.000515,0.0819,2
синџир_NOUN,word,синџир,NOUN,0.00142,41.0819,1
господи_VERB,word,господи,VERB,0.000515,0.0819,2
лист_NOUN,word,лист,NOUN,0.004357,174.172,2
расфрлани_PROPN,word,расфрлани,PROPN,0.000515,0.0819,2
чул_VERB,word,чул,VERB,0.000515,0.0819,2
свеќа_NOUN,word,свеќа,NOUN,0.00139,39.0819,5
заробен_ADJ,word,заробен,ADJ,0.000801,14.0789,2
колена_ADJ,word,колена,ADJ,0.00051,0.0789,2
замине_VERB,word,замине,VERB,0.002087,73.0743,2
крв_NOUN,word,крв,NOUN,0.006104,255.0854,1
патува_VERB,word,патува,VERB,0.001305,42.0833,4
стар_ADJ,word,стар,ADJ,0.007858,343.0733,4
иде_VERB,word,иде,VERB,0.003565,148.0756,1
грло_NOUN,word,грло,NOUN,0.006082,249.0732,1
црвен_ADJ,word,црвен,ADJ,0.004046,164.0608,1
небиднина_NOUN,word,небиднина,NOUN,0.000487,4.067,5
искачи_VERB,word,искачи,VERB,0.00081,18.067,5
личи_VERB,word,личи,VERB,0.00087,22.0648,4
биде_VERB,word,биде,VERB,0.011802,505.0637,4
алишта_NOUN,word,алишта,NOUN,0.000445,2.0608,5
темнина_NOUN,word,темнина,NOUN,0.003049,113.0608,1
градина_NOUN,word,градина,NOUN,0.002054,79.0607,2
вечер_NOUN,word,вечер,NOUN,0.006096,260.0604,1
вик_PROPN,word,вик,PROPN,0.000895,22.0499,1
мрачен_ADJ,word,мрачен,ADJ,0.002662,101.0493,1
сосем_ADV,word,сосем,ADV,0.000534,5.0475,4
вод_NOUN,word,вод,NOUN,0.014376,572.0475,5
син_NOUN,word,син,NOUN,0.006651,271.0945,1
гласи_VERB,word,гласи,VERB,0.001584,54.0431,1
тивка_ADJ,word,тивка,ADJ,0.001357,45.043,1
сокол_NOUN,word,сокол,NOUN,0.002257,87.095,1
младост_NOUN,word,младост,NOUN,0.006236,270.0427,1
ужас_NOUN,word,ужас,NOUN,0.002825,114.0412,1
самотен_ADJ,word,самотен,ADJ,0.000542,6.0402,1
мрзне_VERB,word,мрзне,VERB,0.000412,0.0391,0
тешкото_ADJ,word,тешкото,ADJ,0.000455,2.0391,1
мак_NOUN,word,мак,NOUN,0.005903,256.1051,1
оро_PROPN,word,оро,PROPN,0.001675,59.0369,1
мина_VERB,word,мина,VERB,0.001107,33.0369,1
див_ADJ,word,див,ADJ,0.003067,115.0368,1
наш_ADJ,word,наш,ADJ,0.023538,978.0579,2
доби_VERB,word,доби,VERB,0.002361,91.0663,2
зар_PROPN,word,зар,PROPN,0.00093,25.0582,2
океанот_ADJ,word,океанот,ADJ,0.001274,41.0579,2
заврши_VERB,word,заврши,VERB,0.002879,118.0579,4
потем_ADJ,word,потем,ADJ,0.004513,188.0572,2
живот_NOUN,word,живот,NOUN,0.034155,1397.0548,4
сал_ADJ,word,сал,ADJ,0.010351,446.0543,2
непознат_ADJ,word,непознат,ADJ,0.004778,177.0541,4
годишните_ADJ,word,годишните,ADJ,0.00303,122.0534,2
навистина_ADV,word,навистина,ADV,0.007163,299.052,2
мора_VERB,word,мора,VERB,0.004947,209.0495,2
неизбежно_ADV,word,неизбежно,ADV,0.001195,38.0495,2
долж_ADV,word,долж,ADV,0.001049,30.0495,2
постоиме_ADJ,word,постоиме,ADJ,0.000787,18.0495,2
достатно_ADV,word,достатно,ADV,0.001161,36.0495,2
пропаѓа_VERB,word,пропаѓа,VERB,0.000722,10.076,5
жичка_NOUN,word,жичка,NOUN,0.000573,6.076,2
виделина_ADV,word,виделина,ADV,0.000492,2.0723,4
повисок_ADJ,word,повисок,ADJ,0.000633,9.069,4
остар_ADJ,word,остар,ADJ,0.000477,2.0613,2
облик_NOUN,word,облик,NOUN,0.00181,60.1303,5
тресе_VERB,word,тресе,VERB,0.000699,12.069,2
пристига_VERB,word,пристига,VERB,0.00048,2.0636,1
меша_VERB,word,меша,VERB,0.000717,13.0636,5
молитва_NOUN,word,молитва,NOUN,0.001297,39.0636,5
срчен_ADJ,word,срчен,ADJ,0.000436,0.0613,2
виор_NOUN,word,виор,NOUN,0.00048,2.0613,1
снежен_ADJ,word,снежен,ADJ,0.000645,10.0613,2
роза_NOUN,word,роза,NOUN,0.000848,20.0613,1
излезе_VERB,word,излезе,VERB,0.001363,43.0613,2
бегаме_ADJ,word,бегаме,ADJ,0.000436,0.0613,2
ноќен_ADJ,word,ноќен,ADJ,0.002905,108.0613,1
поинаку_ADV,word,поинаку,ADV,0.000558,7.0967,4
останат_ADJ,word,останат,ADJ,0.001757,56.1617,4
пишува_VERB,word,пишува,VERB,0.003772,146.0777,4
зрнце_NOUN,word,зрнце,NOUN,0.000626,11.0727,4
напише_VERB,word,напише,VERB,0.000625,10.0727,5
бори_VERB,word,бори,VERB,0.001995,76.0727,2
сака_VERB,word,сака,VERB,0.020286,870.1226,4
верува_VERB,word,верува,VERB,0.00296,112.1232,4
започнува_VERB,word,започнува,VERB,0.00067,13.066,4
стих_NOUN,word,стих,NOUN,0.001369,42.1617,1
повторно_ADV,word,повторно,ADV,0.004029,167.0646,5
ангел_NOUN,word,ангел,NOUN,0.002538,92.0643,4
може_VERB,word,може,VERB,0.038952,1464.178,4
повеќе_ADV,word,повеќе,ADV,0.010461,438.061,2
книга_NOUN,word,книга,NOUN,0.005145,182.1258,5
наскоро_ADV,word,наскоро,ADV,0.00055,7.0608,1
направи_VERB,word,направи,VERB,0.003124,130.0608,2
забранет_ADJ,word,забранет,ADJ,0.001144,24.0935,4
одаите_ADJ,word,одаите,ADJ,0.000581,0.0834,5
приватен_ADJ,word,приватен,ADJ,0.000813,13.0675,4
пророк_ADJ,word,пророк,ADJ,0.000542,0.0675,5
жар_NOUN,word,жар,NOUN,0.004142,166.0675,1
одглас_NOUN,word,одглас,NOUN,0.000753,4.0675,4
единица_PROPN,word,единица,PROPN,0.000523,0.0594,5
зевс_PROPN,word,зевс,PROPN,0.000523,0.0594,5
корица_NOUN,word,корица,NOUN,0.000673,6.0594,5
клучалка_NOUN,word,клучалка,NOUN,0.000567,2.0594,1
завеса_NOUN,word,завеса,NOUN,0.001171,30.0594,5
свечена_ADV,word,свечена,ADV,0.000523,0.0594,5
врне_VERB,word,врне,VERB,0.000659,6.1507,5
минува_VERB,word,минува,VERB,0.000454,0.0617,0
мижи_NOUN,word,мижи,NOUN,0.000453,0.0614,0
лажам_ADJ,word,лажам,ADJ,0.000453,0.0614,0
сфаќа_VERB,word,сфаќа,VERB,0.000767,11.0614,4
плови_NOUN,word,плови,NOUN,0.000785,12.0601,4
рид_NOUN,word,рид,NOUN,0.006582,267.1137,2
град_NOUN,word,град,NOUN,0.014804,592.1044,1
дожд_NOUN,word,дожд,NOUN,0.009576,380.1371,5
остануваат_VERB,word,остануваат,VERB,0.000722,13.0558,1
бавча_NOUN,word,бавча,NOUN,0.000621,8.054,5
седи_VERB,word,седи,VERB,0.00196,72.054,1
остров_NOUN,word,остров,NOUN,0.000598,7.054,5
среде_ADJ,word,среде,ADJ,0.003407,122.1187,5
бавно_ADV,word,бавно,ADV,0.000579,6.0524,1
парк_NOUN,word,парк,NOUN,0.001113,32.0514,5
станува_VERB,word,станува,VERB,0.004551,167.0964,4
тргнал_VERB,word,тргнал,VERB,0.000493,4.0875,4
делчев_PROPN,word,делчев,PROPN,0.000695,14.0776,1
тате_VERB,word,тате,VERB,0.000502,4.0776,1
остани_PROPN,word,остани,PROPN,0.00045,2.0776,1
стане_VERB,word,стане,VERB,0.005117,218.0704,4
коска_NOUN,word,коска,NOUN,0.001074,32.0686,1
прв_ADJ,word,прв,ADJ,0.013612,575.1258,1
зарем_PROPN,word,зарем,PROPN,0.000447,2.0649,1
верен_ADJ,word,верен,ADJ,0.001635,57.0649,4
слуша_VERB,word,слуша,VERB,0.009874,436.0649,1
ред_NOUN,word,ред,NOUN,0.005098,216.0649,2
темниот_NOUN,word,темниот,NOUN,0.00149,24.0677,1
гроб_NOUN,word,гроб,NOUN,0.007177,300.1336,1
са_VERB,word,са,VERB,0.000758,12.06,1
вее_VERB,word,вее,VERB,0.001698,55.0583,5
прска_ADJ,word,прска,ADJ,0.001549,46.0551,5
избива_VERB,word,избива,VERB,0.001149,30.0544,5
сосе_NOUN,word,сосе,NOUN,0.000878,20.0544,5
цут_PROPN,word,цут,PROPN,0.00055,5.0543,4
грми_NOUN,word,грми,NOUN,0.000532,2.0543,1
нани_PROPN,word,нани,PROPN,0.000427,0.0543,0
бакнеж_NOUN,word,бакнеж,NOUN,0.004862,196.0527,4
ене_PROPN,word,ене,PROPN,0.000425,0.0514,0
свест_NOUN,word,свест,NOUN,0.002572,84.0514,5
дете_NOUN,word,дете,NOUN,0.008546,355.0511,1
шумски_ADJ,word,шумски,ADJ,0.000887,16.0508,5
загатка_NOUN,word,загатка,NOUN,0.000528,5.0508,4
рамнина_NOUN,word,рамнина,NOUN,0.000843,18.0508,5
гора_NOUN,word,гора,NOUN,0.006961,291.05,1
откога_ADV,word,откога,ADV,0.000556,4.0711,4
млекото_PROPN,word,млекото,PROPN,0.00047,0.07,4
слушне_VERB,word,слушне,VERB,0.001018,26.063,4
наместа_ADV,word,наместа,ADV,0.0018,62.0578,4
страсти_ADV,word,страсти,ADV,0.000454,0.0576,4
лаком_ADJ,word,лаком,ADJ,0.000611,6.0576,4
спаси_VERB,word,спаси,VERB,0.00133,41.0553,1
желба_NOUN,word,желба,NOUN,0.00407,171.0523,4
свесна_ADV,word,свесна,ADV,0.000873,18.0506,1
емоција_NOUN,word,емоција,NOUN,0.000576,6.0506,4
врие_VERB,word,врие,VERB,0.000445,0.0506,4
стомак_NOUN,word,стомак,NOUN,0.001213,30.0506,4
живее_VERB,word,живее,VERB,0.009751,414.05,4
парче_NOUN,word,парче,NOUN,0.002121,75.1401,2
посака_VERB,word,посака,VERB,0.001662,51.0482,4
голтка_NOUN,word,голтка,NOUN,0.000693,12.046,4
допрев_NOUN,word,допрев,NOUN,0.000683,11.046,4
демон_NOUN,word,демон,NOUN,0.000479,0.1144,4
боли_VERB,word,боли,VERB,0.001779,61.1026,4
денеска_ADV,word,денеска,ADV,0.001234,35.0957,4
треба_VERB,word,треба,VERB,0.013242,576.1569,4
помисли_VERB,word,помисли,VERB,0.001788,60.0914,4
кревет_NOUN,word,кревет,NOUN,0.001717,55.135,1
често_ADV,word,често,ADV,0.002602,102.089,1
момент_NOUN,word,момент,NOUN,0.001083,30.0812,2
прекршуваш_NOUN,word,прекршуваш,NOUN,0.00045,0.0812,4
засака_VERB,word,засака,VERB,0.000496,2.0812,4
багаж_NOUN,word,багаж,NOUN,0.00045,0.0812,4
пор_NOUN,word,пор,NOUN,0.000617,8.0812,5
смее_VERB,word,смее,VERB,0.001039,28.0812,4
додека_ADV,word,додека,ADV,0.001777,56.0743,5
насекаде_ADV,word,насекаде,ADV,0.001835,66.0741,4
народ_NOUN,word,народ,NOUN,0.005538,238.0581,1
предмет_NOUN,word,предмет,NOUN,0.00319,125.0549,4
вистина_NOUN,word,вистина,NOUN,0.004495,183.0547,4
грешка_NOUN,word,грешка,NOUN,0.000769,17.0547,4
почеток_NOUN,word,почеток,NOUN,0.001761,64.0543,4
стварност_NOUN,word,стварност,NOUN,0.002697,106.0535,4
значи_VERB,word,значи,VERB,0.003158,128.0534,4
првин_ADV,word,првин,ADV,0.001424,47.05,2
разлика_NOUN,word,разлика,NOUN,0.001069,32.0497,4
бесконечноста_NOUN,word,бесконечноста,NOUN,0.000488,4.0481,4
суштество_NOUN,word,суштество,NOUN,0.000574,8.0481,4
станале_VERB,word,станале,VERB,0.000612,10.0481,4
порив_NOUN,word,порив,NOUN,0.001335,41.0481,5
особено_ADV,word,особено,ADV,0.000782,18.0481,4
аз_PROPN,word,аз,PROPN,0.001197,2.1236,2
у_VERB,word,у,VERB,0.001232,37.0901,1
тутун_NOUN,word,тутун,NOUN,0.001762,63.0764,1
троскот_NOUN,word,троскот,NOUN,0.001906,69.0758,2
висок_ADJ,word,висок,ADJ,0.006364,261.0758,2
борба_NOUN,word,борба,NOUN,0.002801,111.0735,2
братски_ADJ,word,братски,ADJ,0.00044,2.0735,4
самовила_NOUN,word,самовила,NOUN,0.00101,29.0735,1
таговен_ADJ,word,таговен,ADJ,0.000834,20.0735,1
жали_VERB,word,жали,VERB,0.000775,18.0735,1
каже_VERB,word,каже,VERB,0.006515,284.0735,4
огин_ADJ,word,огин,ADJ,0.00044,2.0735,1
работник_NOUN,word,работник,NOUN,0.000524,6.0735,1
тешка_ADJ,word,тешка,ADJ,0.001709,63.0735,1
селски_ADJ,word,селски,ADJ,0.00068,13.0699,5
карпа_NOUN,word,карпа,NOUN,0.003886,156.0699,2
труд_NOUN,word,труд,NOUN,0.00102,29.0667,4
изгори_VERB,word,изгори,VERB,0.000664,13.0667,2
некако_ADV,word,некако,ADV,0.001108,26.1369,5
огледало_NOUN,word,огледало,NOUN,0.001785,60.1037,4
паѓа_VERB,word,паѓа,VERB,0.008311,345.0971,5
штотуку_ADV,word,штотуку,ADV,0.000789,16.0971,4
ту_PROPN,word,ту,PROPN,0.000538,4.0914,1
бел_ADJ,word,бел,ADJ,0.020543,846.0914,1
полн_ADJ,word,полн,ADJ,0.00995,407.0819,5
густ_ADJ,word,густ,ADJ,0.001492,48.0788,2
разделеност_NOUN,word,разделеност,NOUN,0.000443,0.0788,5
задишана_NOUN,word,задишана,NOUN,0.000666,9.0788,1
рбет_NOUN,word,рбет,NOUN,0.000485,2.0788,5
наведна_VERB,word,наведна,VERB,0.000443,0.0788,5
полица_NOUN,word,полица,NOUN,0.000713,11.0788,5
однеси_VERB,word,однеси,VERB,0.00059,0.0979,3
распаќе_NOUN,word,распаќе,NOUN,0.00059,0.0979,3
тропа_VERB,word,тропа,VERB,0.000564,0.0861,3
свет_ADJ,word,свет,ADJ,0.006319,254.0819,1
копнежот_ADV,word,копнежот,ADV,0.000555,0.0819,3
оставете_VERB,word,оставете,VERB,0.000547,0.0782,3
ластар_NOUN,word,ластар,NOUN,0.001081,21.0782,2
спомен_NOUN,word,спомен,NOUN,0.00646,272.0761,1
згасна_ADJ,word,згасна,ADJ,0.001527,47.0761,1
иден_ADJ,word,иден,ADJ,0.002033,69.0713,2
затвори_VERB,word,затвори,VERB,0.002698,83.0703,2
храбар_ADJ,word,храбар,ADJ,0.000529,0.0695,3
ништо_NOUN,word,ништо,NOUN,0.002715,96.0695,4
доведе_VERB,word,доведе,VERB,0.000824,12.0695,2
езерово_PROPN,word,езерово,PROPN,0.000574,2.0695,5
раме_NOUN,word,раме,NOUN,0.000574,2.0695,4
земни_VERB,word,земни,VERB,0.000691,2.0962,1
ангели_PROPN,word,ангели,PROPN,0.000567,0.0938,2
седумте_ADJ,word,седумте,ADJ,0.001558,22.0911,1
пласт_NOUN,word,пласт,NOUN,0.000784,11.0858,5
словото_ADJ,word,словото,ADJ,0.000647,2.0858,2
однесоа_VERB,word,однесоа,VERB,0.00053,0.0755,2
господов_ADV,word,господов,ADV,0.00053,0.0755,2
грмеж_NOUN,word,грмеж,NOUN,0.00053,0.0755,2
